interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-03-12T00:00:00-05:00,2023-03-12T05:00:00+00:00,2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,71050.0
2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,129031.0
2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,235905.0
2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,219032.0
2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,64539.0
2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,157083.0
2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,183444.0
2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,275990.0
2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,254321.0
2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,129909.0
2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,71248.0
2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,133107.0
2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,144391.0
2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,151693.0
2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,199913.0
2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,216334.0
2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,233895.0
2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,243452.0
2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,218805.0
2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,78801.0
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,148590.0
2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,219918.0
2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,180832.0
2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,109074.0
2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,95603.0
2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,202320.0
2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,216880.0
2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,214345.0
2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,240962.0
2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,264246.0
2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,265457.0
2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,285008.0
2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,224417.0
2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,282271.0
2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,197512.0
2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,109727.0
2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,209453.0
2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,273943.0
2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,198663.0
2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,167179.0
2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,149630.0
2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,169283.0
2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,170014.0
