interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_type,lmp,energy,congestion,loss
2023-07-03T03:00:00-04:00,2023-07-03T07:00:00+00:00,2023-07-03T04:00:00-04:00,2023-07-03T08:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.56,31.55,0.0,-0.99
2023-07-03T04:00:00-04:00,2023-07-03T08:00:00+00:00,2023-07-03T05:00:00-04:00,2023-07-03T09:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.75,31.79,0.0,-1.04
2023-07-03T05:00:00-04:00,2023-07-03T09:00:00+00:00,2023-07-03T06:00:00-04:00,2023-07-03T10:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.6,31.53,0.0,-0.93
2023-07-03T06:00:00-04:00,2023-07-03T10:00:00+00:00,2023-07-03T07:00:00-04:00,2023-07-03T11:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,31.82,32.85,0.0,-1.03
2023-07-03T07:00:00-04:00,2023-07-03T11:00:00+00:00,2023-07-03T08:00:00-04:00,2023-07-03T12:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,30.76,31.56,0.0,-0.8
2023-07-03T08:00:00-04:00,2023-07-03T12:00:00+00:00,2023-07-03T09:00:00-04:00,2023-07-03T13:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,36.68,37.6,0.0,-0.92
2023-07-03T09:00:00-04:00,2023-07-03T13:00:00+00:00,2023-07-03T10:00:00-04:00,2023-07-03T14:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,37.22,37.97,0.0,-0.75
2023-07-03T10:00:00-04:00,2023-07-03T14:00:00+00:00,2023-07-03T11:00:00-04:00,2023-07-03T15:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,38.75,39.55,0.0,-0.8
2023-07-03T11:00:00-04:00,2023-07-03T15:00:00+00:00,2023-07-03T12:00:00-04:00,2023-07-03T16:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,44.42,45.38,0.0,-0.96
2023-07-03T12:00:00-04:00,2023-07-03T16:00:00+00:00,2023-07-03T13:00:00-04:00,2023-07-03T17:00:00+00:00,.Z.CONNECTICUT,DAY_AHEAD_HOURLY,LOAD ZONE,44.48,45.23,0.0,-0.75
