interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,market,spp
2024-06-03T09:00:00-05:00,2024-06-03T14:00:00+00:00,2024-06-03T10:00:00-05:00,2024-06-03T15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,11.3
2024-06-03T10:00:00-05:00,2024-06-03T15:00:00+00:00,2024-06-03T11:00:00-05:00,2024-06-03T16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,13.98
2024-06-03T11:00:00-05:00,2024-06-03T16:00:00+00:00,2024-06-03T12:00:00-05:00,2024-06-03T17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.52
2024-06-03T12:00:00-05:00,2024-06-03T17:00:00+00:00,2024-06-03T13:00:00-05:00,2024-06-03T18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.35
2024-06-03T13:00:00-05:00,2024-06-03T18:00:00+00:00,2024-06-03T14:00:00-05:00,2024-06-03T19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,31.61
2024-06-03T14:00:00-05:00,2024-06-03T19:00:00+00:00,2024-06-03T15:00:00-05:00,2024-06-03T20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,31.63
2024-06-03T15:00:00-05:00,2024-06-03T20:00:00+00:00,2024-06-03T16:00:00-05:00,2024-06-03T21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,35.04
2024-06-03T16:00:00-05:00,2024-06-03T21:00:00+00:00,2024-06-03T17:00:00-05:00,2024-06-03T22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,46.99
2024-06-03T17:00:00-05:00,2024-06-03T22:00:00+00:00,2024-06-03T18:00:00-05:00,2024-06-03T23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,43.93
2024-06-03T18:00:00-05:00,2024-06-03T23:00:00+00:00,2024-06-03T19:00:00-05:00,2024-06-04T00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,39.42
2024-06-03T19:00:00-05:00,2024-06-04T00:00:00+00:00,2024-06-03T20:00:00-05:00,2024-06-04T01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,53.25
2024-06-03T20:00:00-05:00,2024-06-04T01:00:00+00:00,2024-06-03T21:00:00-05:00,2024-06-04T02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,38.82
