interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2024-06-03T18:00:00-04:00,2024-06-03T22:00:00+00:00,2024-06-03T19:00:00-04:00,2024-06-03T23:00:00+00:00,N.Y.C.,45.06
2024-06-03T19:00:00-04:00,2024-06-03T23:00:00+00:00,2024-06-03T20:00:00-04:00,2024-06-04T00:00:00+00:00,N.Y.C.,42.8
2024-06-03T20:00:00-04:00,2024-06-04T00:00:00+00:00,2024-06-03T21:00:00-04:00,2024-06-04T01:00:00+00:00,N.Y.C.,38.77
2024-06-03T21:00:00-04:00,2024-06-04T01:00:00+00:00,2024-06-03T22:00:00-04:00,2024-06-04T02:00:00+00:00,N.Y.C.,35.07
2024-06-03T22:00:00-04:00,2024-06-04T02:00:00+00:00,2024-06-03T23:00:00-04:00,2024-06-04T03:00:00+00:00,N.Y.C.,28.71
2024-06-03T23:00:00-04:00,2024-06-04T03:00:00+00:00,2024-06-04T00:00:00-04:00,2024-06-04T04:00:00+00:00,N.Y.C.,25.62
2024-06-04T00:00:00-04:00,2024-06-04T04:00:00+00:00,2024-06-04T01:00:00-04:00,2024-06-04T05:00:00+00:00,N.Y.C.,25.47
2024-06-04T01:00:00-04:00,2024-06-04T05:00:00+00:00,2024-06-04T02:00:00-04:00,2024-06-04T06:00:00+00:00,N.Y.C.,24.14
2024-06-04T02:00:00-04:00,2024-06-04T06:00:00+00:00,2024-06-04T03:00:00-04:00,2024-06-04T07:00:00+00:00,N.Y.C.,20.33
2024-06-04T03:00:00-04:00,2024-06-04T07:00:00+00:00,2024-06-04T04:00:00-04:00,2024-06-04T08:00:00+00:00,N.Y.C.,19.97
2024-06-04T04:00:00-04:00,2024-06-04T08:00:00+00:00,2024-06-04T05:00:00-04:00,2024-06-04T09:00:00+00:00,N.Y.C.,19.6
2024-06-04T05:00:00-04:00,2024-06-04T09:00:00+00:00,2024-06-04T06:00:00-04:00,2024-06-04T10:00:00+00:00,N.Y.C.,20.81
2024-06-04T06:00:00-04:00,2024-06-04T10:00:00+00:00,2024-06-04T07:00:00-04:00,2024-06-04T11:00:00+00:00,N.Y.C.,22.86
2024-06-04T07:00:00-04:00,2024-06-04T11:00:00+00:00,2024-06-04T08:00:00-04:00,2024-06-04T12:00:00+00:00,N.Y.C.,23.19
2024-06-04T08:00:00-04:00,2024-06-04T12:00:00+00:00,2024-06-04T09:00:00-04:00,2024-06-04T13:00:00+00:00,N.Y.C.,24.27
2024-06-04T09:00:00-04:00,2024-06-04T13:00:00+00:00,2024-06-04T10:00:00-04:00,2024-06-04T14:00:00+00:00,N.Y.C.,23.35
2024-06-04T10:00:00-04:00,2024-06-04T14:00:00+00:00,2024-06-04T11:00:00-04:00,2024-06-04T15:00:00+00:00,N.Y.C.,26.08
2024-06-04T11:00:00-04:00,2024-06-04T15:00:00+00:00,2024-06-04T12:00:00-04:00,2024-06-04T16:00:00+00:00,N.Y.C.,26.94
2024-06-04T12:00:00-04:00,2024-06-04T16:00:00+00:00,2024-06-04T13:00:00-04:00,2024-06-04T17:00:00+00:00,N.Y.C.,28.35
2024-06-04T13:00:00-04:00,2024-06-04T17:00:00+00:00,2024-06-04T14:00:00-04:00,2024-06-04T18:00:00+00:00,N.Y.C.,30.75
2024-06-04T14:00:00-04:00,2024-06-04T18:00:00+00:00,2024-06-04T15:00:00-04:00,2024-06-04T19:00:00+00:00,N.Y.C.,34.28
2024-06-04T15:00:00-04:00,2024-06-04T19:00:00+00:00,2024-06-04T16:00:00-04:00,2024-06-04T20:00:00+00:00,N.Y.C.,37.78
2024-06-04T16:00:00-04:00,2024-06-04T20:00:00+00:00,2024-06-04T17:00:00-04:00,2024-06-04T21:00:00+00:00,N.Y.C.,41.11
2024-06-04T17:00:00-04:00,2024-06-04T21:00:00+00:00,2024-06-04T18:00:00-04:00,2024-06-04T22:00:00+00:00,N.Y.C.,45.52
2024-06-04T18:00:00-04:00,2024-06-04T22:00:00+00:00,2024-06-04T19:00:00-04:00,2024-06-04T23:00:00+00:00,N.Y.C.,41.99
2024-06-04T19:00:00-04:00,2024-06-04T23:00:00+00:00,2024-06-04T20:00:00-04:00,2024-06-05T00:00:00+00:00,N.Y.C.,39.09
2024-06-04T20:00:00-04:00,2024-06-05T00:00:00+00:00,2024-06-04T21:00:00-04:00,2024-06-05T01:00:00+00:00,N.Y.C.,36.41
2024-06-04T21:00:00-04:00,2024-06-05T01:00:00+00:00,2024-06-04T22:00:00-04:00,2024-06-05T02:00:00+00:00,N.Y.C.,32.64
2024-06-04T22:00:00-04:00,2024-06-05T02:00:00+00:00,2024-06-04T23:00:00-04:00,2024-06-05T03:00:00+00:00,N.Y.C.,28.64
2024-06-04T23:00:00-04:00,2024-06-05T03:00:00+00:00,2024-06-05T00:00:00-04:00,2024-06-05T04:00:00+00:00,N.Y.C.,26.22
2024-06-05T00:00:00-04:00,2024-06-05T04:00:00+00:00,2024-06-05T01:00:00-04:00,2024-06-05T05:00:00+00:00,N.Y.C.,25.53
2024-06-05T01:00:00-04:00,2024-06-05T05:00:00+00:00,2024-06-05T02:00:00-04:00,2024-06-05T06:00:00+00:00,N.Y.C.,22.71
2024-06-05T02:00:00-04:00,2024-06-05T06:00:00+00:00,2024-06-05T03:00:00-04:00,2024-06-05T07:00:00+00:00,N.Y.C.,20.99
2024-06-05T03:00:00-04:00,2024-06-05T07:00:00+00:00,2024-06-05T04:00:00-04:00,2024-06-05T08:00:00+00:00,N.Y.C.,19.64
2024-06-05T04:00:00-04:00,2024-06-05T08:00:00+00:00,2024-06-05T05:00:00-04:00,2024-06-05T09:00:00+00:00,N.Y.C.,20.07
2024-06-05T05:00:00-04:00,2024-06-05T09:00:00+00:00,2024-06-05T06:00:00-04:00,2024-06-05T10:00:00+00:00,N.Y.C.,20.84
2024-06-05T06:00:00-04:00,2024-06-05T10:00:00+00:00,2024-06-05T07:00:00-04:00,2024-06-05T11:00:00+00:00,N.Y.C.,23.96
2024-06-05T07:00:00-04:00,2024-06-05T11:00:00+00:00,2024-06-05T08:00:00-04:00,2024-06-05T12:00:00+00:00,N.Y.C.,25.96
2024-06-05T08:00:00-04:00,2024-06-05T12:00:00+00:00,2024-06-05T09:00:00-04:00,2024-06-05T13:00:00+00:00,N.Y.C.,26.3
2024-06-05T09:00:00-04:00,2024-06-05T13:00:00+00:00,2024-06-05T10:00:00-04:00,2024-06-05T14:00:00+00:00,N.Y.C.,25.67
2024-06-05T10:00:00-04:00,2024-06-05T14:00:00+00:00,2024-06-05T11:00:00-04:00,2024-06-05T15:00:00+00:00,N.Y.C.,26.84
2024-06-05T11:00:00-04:00,2024-06-05T15:00:00+00:00,2024-06-05T12:00:00-04:00,2024-06-05T16:00:00+00:00,N.Y.C.,28.3
2024-06-05T12:00:00-04:00,2024-06-05T16:00:00+00:00,2024-06-05T13:00:00-04:00,2024-06-05T17:00:00+00:00,N.Y.C.,31.12
2024-06-05T13:00:00-04:00,2024-06-05T17:00:00+00:00,2024-06-05T14:00:00-04:00,2024-06-05T18:00:00+00:00,N.Y.C.,33.0
2024-06-05T14:00:00-04:00,2024-06-05T18:00:00+00:00,2024-06-05T15:00:00-04:00,2024-06-05T19:00:00+00:00,N.Y.C.,35.14
2024-06-05T15:00:00-04:00,2024-06-05T19:00:00+00:00,2024-06-05T16:00:00-04:00,2024-06-05T20:00:00+00:00,N.Y.C.,39.38
2024-06-05T16:00:00-04:00,2024-06-05T20:00:00+00:00,2024-06-05T17:00:00-04:00,2024-06-05T21:00:00+00:00,N.Y.C.,41.93
2024-06-05T17:00:00-04:00,2024-06-05T21:00:00+00:00,2024-06-05T18:00:00-04:00,2024-06-05T22:00:00+00:00,N.Y.C.,46.23
2024-06-05T18:00:00-04:00,2024-06-05T22:00:00+00:00,2024-06-05T19:00:00-04:00,2024-06-05T23:00:00+00:00,N.Y.C.,44.12
2024-06-05T19:00:00-04:00,2024-06-05T23:00:00+00:00,2024-06-05T20:00:00-04:00,2024-06-06T00:00:00+00:00,N.Y.C.,41.8
2024-06-05T20:00:00-04:00,2024-06-06T00:00:00+00:00,2024-06-05T21:00:00-04:00,2024-06-06T01:00:00+00:00,N.Y.C.,39.32
2024-06-05T21:00:00-04:00,2024-06-06T01:00:00+00:00,2024-06-05T22:00:00-04:00,2024-06-06T02:00:00+00:00,N.Y.C.,33.09
2024-06-05T22:00:00-04:00,2024-06-06T02:00:00+00:00,2024-06-05T23:00:00-04:00,2024-06-06T03:00:00+00:00,N.Y.C.,28.87
2024-06-05T23:00:00-04:00,2024-06-06T03:00:00+00:00,2024-06-06T00:00:00-04:00,2024-06-06T04:00:00+00:00,N.Y.C.,27.21
2024-06-06T00:00:00-04:00,2024-06-06T04:00:00+00:00,2024-06-06T01:00:00-04:00,2024-06-06T05:00:00+00:00,N.Y.C.,26.89
2024-06-06T01:00:00-04:00,2024-06-06T05:00:00+00:00,2024-06-06T02:00:00-04:00,2024-06-06T06:00:00+00:00,N.Y.C.,24.29
2024-06-06T02:00:00-04:00,2024-06-06T06:00:00+00:00,2024-06-06T03:00:00-04:00,2024-06-06T07:00:00+00:00,N.Y.C.,23.41
2024-06-06T03:00:00-04:00,2024-06-06T07:00:00+00:00,2024-06-06T04:00:00-04:00,2024-06-06T08:00:00+00:00,N.Y.C.,22.38
2024-06-06T04:00:00-04:00,2024-06-06T08:00:00+00:00,2024-06-06T05:00:00-04:00,2024-06-06T09:00:00+00:00,N.Y.C.,23.0
2024-06-06T05:00:00-04:00,2024-06-06T09:00:00+00:00,2024-06-06T06:00:00-04:00,2024-06-06T10:00:00+00:00,N.Y.C.,23.16
2024-06-06T06:00:00-04:00,2024-06-06T10:00:00+00:00,2024-06-06T07:00:00-04:00,2024-06-06T11:00:00+00:00,N.Y.C.,26.43
2024-06-06T07:00:00-04:00,2024-06-06T11:00:00+00:00,2024-06-06T08:00:00-04:00,2024-06-06T12:00:00+00:00,N.Y.C.,29.46
2024-06-06T08:00:00-04:00,2024-06-06T12:00:00+00:00,2024-06-06T09:00:00-04:00,2024-06-06T13:00:00+00:00,N.Y.C.,31.85
