interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,spp
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRPANGLE_RN,Resource Node,56.24
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_BRAZ_RN,Resource Node,56.24
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_DIKN_RN,Resource Node,56.77
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_LOOP_RN,Resource Node,41.97
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_LOP1_RN,Resource Node,87.84
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRPMAGNO_RN,Resource Node,56.75
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_PBL1_RN,Resource Node,62.2
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_PBL2_RN,Resource Node,62.21
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_RN_UNIT1,Resource Node,64.63
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_SEMI_RN,Resource Node,56.73
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_SWNY_RN,Resource Node,56.25
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_ZPT1_RN,Resource Node,86.29
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRP_ZPT2_RN,Resource Node,86.29
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BRTSW_BCW1,Resource Node,59.32
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BR_VHB6CT5_6,Resource Node,63.53
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BR_VHB6CT7_8,Resource Node,63.53
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BSS_U1,Resource Node,56.25
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_BTE_G1,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_BTE_G2,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_BTE_G3,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_BTE_G4,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_CC1,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_PUN1,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTE_PUN2,Resource Node,57.03
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BTM_ALL,Resource Node,56.5
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BUCHAN_ALL,Resource Node,61.25
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BUCKTHRN_RN,Resource Node,59.36
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BUFF_GAP_ALL,Resource Node,59.86
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BULLCRK_1_2,Resource Node,58.85
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BVE_CC1,Resource Node,56.68
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BVE_UNIT1,Resource Node,56.68
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BVE_UNIT2,Resource Node,56.68
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BVE_UNIT3,Resource Node,56.68
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYRDR_ES_ALL,Resource Node,56.25
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_BYU_1,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_BYU_12,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_BYU_34,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_BYU_G8,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_CC1,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_G4_RN,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_PUN1,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_PUN2,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_PUN3,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,BYU_PUN4,Resource Node,56.89
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,CABEZON_ALL,Resource Node,5.93
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,CALAVER_JKS1,Resource Node,70.6
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,CALAVER_JKS2,Resource Node,70.6
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,CALAVER_JTD1,Resource Node,64.26
2024-05-31T19:00:00-05:00,2024-06-01T00:00:00+00:00,2024-05-31T20:00:00-05:00,2024-06-01T01:00:00+00:00,CALAVER_JTD2,Resource Node,64.26
