interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,location_type,lmp
2023-06-03T16:00:00-04:00,2023-06-03T20:00:00+00:00,2023-06-03T17:00:00-04:00,2023-06-03T21:00:00+00:00,.H.INTERNAL_HUB,HUB,22.16
2023-06-03T17:00:00-04:00,2023-06-03T21:00:00+00:00,2023-06-03T18:00:00-04:00,2023-06-03T22:00:00+00:00,.H.INTERNAL_HUB,HUB,26.28
2023-06-03T18:00:00-04:00,2023-06-03T22:00:00+00:00,2023-06-03T19:00:00-04:00,2023-06-03T23:00:00+00:00,.H.INTERNAL_HUB,HUB,29.56
2023-06-03T19:00:00-04:00,2023-06-03T23:00:00+00:00,2023-06-03T20:00:00-04:00,2023-06-04T00:00:00+00:00,.H.INTERNAL_HUB,HUB,30.4
2023-06-03T20:00:00-04:00,2023-06-04T00:00:00+00:00,2023-06-03T21:00:00-04:00,2023-06-04T01:00:00+00:00,.H.INTERNAL_HUB,HUB,29.73
2023-06-03T21:00:00-04:00,2023-06-04T01:00:00+00:00,2023-06-03T22:00:00-04:00,2023-06-04T02:00:00+00:00,.H.INTERNAL_HUB,HUB,28.66
2023-06-03T22:00:00-04:00,2023-06-04T02:00:00+00:00,2023-06-03T23:00:00-04:00,2023-06-04T03:00:00+00:00,.H.INTERNAL_HUB,HUB,25.25
2023-06-03T23:00:00-04:00,2023-06-04T03:00:00+00:00,2023-06-04T00:00:00-04:00,2023-06-04T04:00:00+00:00,.H.INTERNAL_HUB,HUB,21.5
2023-06-04T00:00:00-04:00,2023-06-04T04:00:00+00:00,2023-06-04T01:00:00-04:00,2023-06-04T05:00:00+00:00,.H.INTERNAL_HUB,HUB,21.1
2023-06-04T01:00:00-04:00,2023-06-04T05:00:00+00:00,2023-06-04T02:00:00-04:00,2023-06-04T06:00:00+00:00,.H.INTERNAL_HUB,HUB,21.16
2023-06-04T02:00:00-04:00,2023-06-04T06:00:00+00:00,2023-06-04T03:00:00-04:00,2023-06-04T07:00:00+00:00,.H.INTERNAL_HUB,HUB,21.12
2023-06-04T03:00:00-04:00,2023-06-04T07:00:00+00:00,2023-06-04T04:00:00-04:00,2023-06-04T08:00:00+00:00,.H.INTERNAL_HUB,HUB,20.31
2023-06-04T04:00:00-04:00,2023-06-04T08:00:00+00:00,2023-06-04T05:00:00-04:00,2023-06-04T09:00:00+00:00,.H.INTERNAL_HUB,HUB,21.12
2023-06-04T05:00:00-04:00,2023-06-04T09:00:00+00:00,2023-06-04T06:00:00-04:00,2023-06-04T10:00:00+00:00,.H.INTERNAL_HUB,HUB,21.0
2023-06-04T06:00:00-04:00,2023-06-04T10:00:00+00:00,2023-06-04T07:00:00-04:00,2023-06-04T11:00:00+00:00,.H.INTERNAL_HUB,HUB,20.3
2023-06-04T07:00:00-04:00,2023-06-04T11:00:00+00:00,2023-06-04T08:00:00-04:00,2023-06-04T12:00:00+00:00,.H.INTERNAL_HUB,HUB,19.21
2023-06-04T08:00:00-04:00,2023-06-04T12:00:00+00:00,2023-06-04T09:00:00-04:00,2023-06-04T13:00:00+00:00,.H.INTERNAL_HUB,HUB,21.0
2023-06-04T09:00:00-04:00,2023-06-04T13:00:00+00:00,2023-06-04T10:00:00-04:00,2023-06-04T14:00:00+00:00,.H.INTERNAL_HUB,HUB,20.82
2023-06-04T10:00:00-04:00,2023-06-04T14:00:00+00:00,2023-06-04T11:00:00-04:00,2023-06-04T15:00:00+00:00,.H.INTERNAL_HUB,HUB,19.69
2023-06-04T11:00:00-04:00,2023-06-04T15:00:00+00:00,2023-06-04T12:00:00-04:00,2023-06-04T16:00:00+00:00,.H.INTERNAL_HUB,HUB,20.04
2023-06-04T12:00:00-04:00,2023-06-04T16:00:00+00:00,2023-06-04T13:00:00-04:00,2023-06-04T17:00:00+00:00,.H.INTERNAL_HUB,HUB,20.84
2023-06-04T13:00:00-04:00,2023-06-04T17:00:00+00:00,2023-06-04T14:00:00-04:00,2023-06-04T18:00:00+00:00,.H.INTERNAL_HUB,HUB,20.04
2023-06-04T14:00:00-04:00,2023-06-04T18:00:00+00:00,2023-06-04T15:00:00-04:00,2023-06-04T19:00:00+00:00,.H.INTERNAL_HUB,HUB,22.02
2023-06-04T15:00:00-04:00,2023-06-04T19:00:00+00:00,2023-06-04T16:00:00-04:00,2023-06-04T20:00:00+00:00,.H.INTERNAL_HUB,HUB,23.56
2023-06-04T16:00:00-04:00,2023-06-04T20:00:00+00:00,2023-06-04T17:00:00-04:00,2023-06-04T21:00:00+00:00,.H.INTERNAL_HUB,HUB,25.84
2023-06-04T17:00:00-04:00,2023-06-04T21:00:00+00:00,2023-06-04T18:00:00-04:00,2023-06-04T22:00:00+00:00,.H.INTERNAL_HUB,HUB,28.65
2023-06-04T18:00:00-04:00,2023-06-04T22:00:00+00:00,2023-06-04T19:00:00-04:00,2023-06-04T23:00:00+00:00,.H.INTERNAL_HUB,HUB,29.66
2023-06-04T19:00:00-04:00,2023-06-04T23:00:00+00:00,2023-06-04T20:00:00-04:00,2023-06-05T00:00:00+00:00,.H.INTERNAL_HUB,HUB,29.75
2023-06-04T20:00:00-04:00,2023-06-05T00:00:00+00:00,2023-06-04T21:00:00-04:00,2023-06-05T01:00:00+00:00,.H.INTERNAL_HUB,HUB,28.42
2023-06-04T21:00:00-04:00,2023-06-05T01:00:00+00:00,2023-06-04T22:00:00-04:00,2023-06-05T02:00:00+00:00,.H.INTERNAL_HUB,HUB,28.25
2023-06-04T22:00:00-04:00,2023-06-05T02:00:00+00:00,2023-06-04T23:00:00-04:00,2023-06-05T03:00:00+00:00,.H.INTERNAL_HUB,HUB,24.09
2023-06-04T23:00:00-04:00,2023-06-05T03:00:00+00:00,2023-06-05T00:00:00-04:00,2023-06-05T04:00:00+00:00,.H.INTERNAL_HUB,HUB,23.04
2023-06-05T00:00:00-04:00,2023-06-05T04:00:00+00:00,2023-06-05T01:00:00-04:00,2023-06-05T05:00:00+00:00,.H.INTERNAL_HUB,HUB,18.07
2023-06-05T01:00:00-04:00,2023-06-05T05:00:00+00:00,2023-06-05T02:00:00-04:00,2023-06-05T06:00:00+00:00,.H.INTERNAL_HUB,HUB,18.33
2023-06-05T02:00:00-04:00,2023-06-05T06:00:00+00:00,2023-06-05T03:00:00-04:00,2023-06-05T07:00:00+00:00,.H.INTERNAL_HUB,HUB,17.26
2023-06-05T03:00:00-04:00,2023-06-05T07:00:00+00:00,2023-06-05T04:00:00-04:00,2023-06-05T08:00:00+00:00,.H.INTERNAL_HUB,HUB,17.26
