interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,reserve_zone_id,reserve_zone_name,ten_min_spin_requirement,tmnsr_clearing_price,tmnsr_designated_mw,tmor_clearing_price,tmor_designated_mw,tmsr_clearing_price,tmsr_designated_mw,total_10_min_requirement,total_30_min_requirement
2022-06-01T04:00:00-04:00,2022-06-01T08:00:00+00:00,2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,7001,SWCT,0.0,0.0,329.4,0.0,127.7,0.0,23.167,0.0,1229.467
2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,123.967,0.0,79.658,0.0,763.875
2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,51.233,0.0,6.0,0.0,1435.0
2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,7000,ROS,472.75,0.0,938.15,0.0,1946.058,0.0,571.3,1888.583,2673.583
2022-06-01T05:00:00-04:00,2022-06-01T09:00:00+00:00,2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,7001,SWCT,0.0,0.0,344.0,0.0,157.325,0.0,16.675,0.0,1240.95
2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,175.483,0.56,204.542,0.0,774.133
2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,7003,NEMABSTN,0.0,0.0,33.5,0.0,48.1,0.56,7.0,0.0,1435.0
2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,7000,ROS,472.833,0.0,1581.733,0.0,1455.617,0.56,369.125,1888.167,2673.083
2022-06-01T06:00:00-04:00,2022-06-01T10:00:00+00:00,2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,7001,SWCT,0.0,0.0,381.783,0.0,170.75,0.56,24.15,0.0,1251.5
2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,195.717,0.0,184.35,0.0,787.508
2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,7003,NEMABSTN,0.0,0.0,43.917,0.0,88.183,0.0,7.0,0.0,1435.0
2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,7000,ROS,473.0,0.0,2272.867,0.0,880.267,0.0,475.083,1889.417,2674.417
2022-06-01T07:00:00-04:00,2022-06-01T11:00:00+00:00,2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,7001,SWCT,0.0,0.0,597.917,0.0,285.867,0.0,19.867,0.0,1265.067
2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,7002,CT,0.0,0.0,450.5,0.0,177.367,0.0,145.108,0.0,764.475
2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,7003,NEMABSTN,0.0,0.0,46.0,0.0,98.433,0.0,7.0,0.0,1435.0
2022-06-01T08:00:00-04:00,2022-06-01T12:00:00+00:00,2022-06-01T09:00:00-04:00,2022-06-01T13:00:00+00:00,7000,ROS,473.167,0.0,2279.008,0.0,857.85,0.0,443.733,1889.5,2674.083
