interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,spp
2024-06-05T17:00:00-05:00,2024-06-05T22:00:00+00:00,2024-06-05T18:00:00-05:00,2024-06-05T23:00:00+00:00,HB_HOUSTON,77.05
2024-06-05T18:00:00-05:00,2024-06-05T23:00:00+00:00,2024-06-05T19:00:00-05:00,2024-06-06T00:00:00+00:00,HB_HOUSTON,77.53
2024-06-05T19:00:00-05:00,2024-06-06T00:00:00+00:00,2024-06-05T20:00:00-05:00,2024-06-06T01:00:00+00:00,HB_HOUSTON,117.64
2024-06-05T20:00:00-05:00,2024-06-06T01:00:00+00:00,2024-06-05T21:00:00-05:00,2024-06-06T02:00:00+00:00,HB_HOUSTON,138.96
2024-06-05T21:00:00-05:00,2024-06-06T02:00:00+00:00,2024-06-05T22:00:00-05:00,2024-06-06T03:00:00+00:00,HB_HOUSTON,63.25
2024-06-05T22:00:00-05:00,2024-06-06T03:00:00+00:00,2024-06-05T23:00:00-05:00,2024-06-06T04:00:00+00:00,HB_HOUSTON,28.44
2024-06-05T23:00:00-05:00,2024-06-06T04:00:00+00:00,2024-06-06T00:00:00-05:00,2024-06-06T05:00:00+00:00,HB_HOUSTON,23.72
2024-06-06T00:00:00-05:00,2024-06-06T05:00:00+00:00,2024-06-06T01:00:00-05:00,2024-06-06T06:00:00+00:00,HB_HOUSTON,20.05
2024-06-06T01:00:00-05:00,2024-06-06T06:00:00+00:00,2024-06-06T02:00:00-05:00,2024-06-06T07:00:00+00:00,HB_HOUSTON,17.42
2024-06-06T02:00:00-05:00,2024-06-06T07:00:00+00:00,2024-06-06T03:00:00-05:00,2024-06-06T08:00:00+00:00,HB_HOUSTON,16.38
2024-06-06T03:00:00-05:00,2024-06-06T08:00:00+00:00,2024-06-06T04:00:00-05:00,2024-06-06T09:00:00+00:00,HB_HOUSTON,15.7
2024-06-06T04:00:00-05:00,2024-06-06T09:00:00+00:00,2024-06-06T05:00:00-05:00,2024-06-06T10:00:00+00:00,HB_HOUSTON,15.23
2024-06-06T05:00:00-05:00,2024-06-06T10:00:00+00:00,2024-06-06T06:00:00-05:00,2024-06-06T11:00:00+00:00,HB_HOUSTON,16.88
2024-06-06T06:00:00-05:00,2024-06-06T11:00:00+00:00,2024-06-06T07:00:00-05:00,2024-06-06T12:00:00+00:00,HB_HOUSTON,20.17
2024-06-06T07:00:00-05:00,2024-06-06T12:00:00+00:00,2024-06-06T08:00:00-05:00,2024-06-06T13:00:00+00:00,HB_HOUSTON,18.5
2024-06-06T08:00:00-05:00,2024-06-06T13:00:00+00:00,2024-06-06T09:00:00-05:00,2024-06-06T14:00:00+00:00,HB_HOUSTON,16.11
2024-06-06T09:00:00-05:00,2024-06-06T14:00:00+00:00,2024-06-06T10:00:00-05:00,2024-06-06T15:00:00+00:00,HB_HOUSTON,15.77
2024-06-06T10:00:00-05:00,2024-06-06T15:00:00+00:00,2024-06-06T11:00:00-05:00,2024-06-06T16:00:00+00:00,HB_HOUSTON,18.5
2024-06-06T11:00:00-05:00,2024-06-06T16:00:00+00:00,2024-06-06T12:00:00-05:00,2024-06-06T17:00:00+00:00,HB_HOUSTON,23.44
2024-06-06T12:00:00-05:00,2024-06-06T17:00:00+00:00,2024-06-06T13:00:00-05:00,2024-06-06T18:00:00+00:00,HB_HOUSTON,37.15
2024-06-06T13:00:00-05:00,2024-06-06T18:00:00+00:00,2024-06-06T14:00:00-05:00,2024-06-06T19:00:00+00:00,HB_HOUSTON,56.36
2024-06-06T14:00:00-05:00,2024-06-06T19:00:00+00:00,2024-06-06T15:00:00-05:00,2024-06-06T20:00:00+00:00,HB_HOUSTON,67.84
2024-06-06T15:00:00-05:00,2024-06-06T20:00:00+00:00,2024-06-06T16:00:00-05:00,2024-06-06T21:00:00+00:00,HB_HOUSTON,95.82
2024-06-06T16:00:00-05:00,2024-06-06T21:00:00+00:00,2024-06-06T17:00:00-05:00,2024-06-06T22:00:00+00:00,HB_HOUSTON,119.33
2024-06-06T17:00:00-05:00,2024-06-06T22:00:00+00:00,2024-06-06T18:00:00-05:00,2024-06-06T23:00:00+00:00,HB_HOUSTON,119.02
2024-06-06T18:00:00-05:00,2024-06-06T23:00:00+00:00,2024-06-06T19:00:00-05:00,2024-06-07T00:00:00+00:00,HB_HOUSTON,96.02
2024-06-06T19:00:00-05:00,2024-06-07T00:00:00+00:00,2024-06-06T20:00:00-05:00,2024-06-07T01:00:00+00:00,HB_HOUSTON,187.62
