interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2024-01-06T20:00:00-06:00,2024-01-07T02:00:00+00:00,2024-01-06T21:00:00-06:00,2024-01-07T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,29.5433,32.2353,-2.4482,-0.2438
2024-01-06T21:00:00-06:00,2024-01-07T03:00:00+00:00,2024-01-06T22:00:00-06:00,2024-01-07T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,40.6606,30.1882,9.517,0.9554
2024-01-06T21:00:00-06:00,2024-01-07T03:00:00+00:00,2024-01-06T22:00:00-06:00,2024-01-07T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,28.0586,30.1882,-1.85,-0.2796
2024-01-06T22:00:00-06:00,2024-01-07T04:00:00+00:00,2024-01-06T23:00:00-06:00,2024-01-07T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,39.9888,28.5765,10.5421,0.8702
2024-01-06T22:00:00-06:00,2024-01-07T04:00:00+00:00,2024-01-06T23:00:00-06:00,2024-01-07T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,26.7881,28.5765,-1.3699,-0.4185
2024-01-06T23:00:00-06:00,2024-01-07T05:00:00+00:00,2024-01-07T00:00:00-06:00,2024-01-07T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,33.1831,25.8736,6.6755,0.634
2024-01-06T23:00:00-06:00,2024-01-07T05:00:00+00:00,2024-01-07T00:00:00-06:00,2024-01-07T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,25.5716,25.8736,0.1229,-0.4249
2024-01-07T00:00:00-06:00,2024-01-07T06:00:00+00:00,2024-01-07T01:00:00-06:00,2024-01-07T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,21.2979,28.0916,-6.5349,-0.2588
2024-01-07T00:00:00-06:00,2024-01-07T06:00:00+00:00,2024-01-07T01:00:00-06:00,2024-01-07T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,21.6248,28.0916,-6.0038,-0.463
2024-01-07T01:00:00-06:00,2024-01-07T07:00:00+00:00,2024-01-07T02:00:00-06:00,2024-01-07T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.5153,24.7299,-3.9669,-0.2477
2024-01-07T01:00:00-06:00,2024-01-07T07:00:00+00:00,2024-01-07T02:00:00-06:00,2024-01-07T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,22.3611,24.7298,-1.9284,-0.4403
2024-01-07T02:00:00-06:00,2024-01-07T08:00:00+00:00,2024-01-07T03:00:00-06:00,2024-01-07T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.6014,23.9251,-3.1134,-0.2103
2024-01-07T02:00:00-06:00,2024-01-07T08:00:00+00:00,2024-01-07T03:00:00-06:00,2024-01-07T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,22.3093,23.9251,-1.1474,-0.4684
2024-01-07T03:00:00-06:00,2024-01-07T09:00:00+00:00,2024-01-07T04:00:00-06:00,2024-01-07T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,20.7704,24.185,-3.2725,-0.1421
