interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,mkt_region,zone,load_area,mw
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,AE,VMEU,70.739
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,BC,BC,3240.276
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,DPL,DPLCO,1835.342
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,DPL,EASTON,25.085
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,JC,JC,2363.532
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,ME,ME,1530.918
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PE,PE,3982.421
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PEP,PEPCO,2510.821
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PEP,SMECO,370.01
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PL,PLCO,4112.201
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PL,UGI,115.435
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PN,PN,1723.585
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,PS,PS,4433.869
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,MIDATL,RECO,RECO,148.798
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,RTO,RTO,RTO,80383.591
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,SOUTH,DOM,DOM,11698.295
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,AEP,AEPAPT,3840.703
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,AEP,AEPIMP,2723.571
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,AEP,AEPKPT,612.785
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,AEP,AEPOPT,5575.393
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,AP,AP,4997.994
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,ATSI,OE,5982.282
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,ATSI,PAPWR,489.745
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,CE,CE,10043.345
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,DAY,DAY,1631.0
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,DEOK,DEOK,2587.939
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,DUQ,DUQ,1318.351
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,EKPC,EKPC,1362.721
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,WEST,OVEC,OVEC,41.0
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,AE,AECO,975.766
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,AE,VMEU,67.997
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,BC,BC,3093.942
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,DPL,DPLCO,1741.934
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,DPL,EASTON,23.552
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,JC,JC,2255.808
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,ME,ME,1460.642
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PE,PE,3814.106
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PEP,PEPCO,2418.988
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PEP,SMECO,351.618
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PL,PLCO,3925.366
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PL,UGI,109.21
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PN,PN,1675.976
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,PS,PS,4279.267
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,MIDATL,RECO,RECO,142.41
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,RTO,RTO,RTO,77960.747
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,SOUTH,DOM,DOM,11347.019
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,AEP,AEPAPT,3760.555
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,AEP,AEPIMP,2687.341
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,AEP,AEPKPT,603.781
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,AEP,AEPOPT,5526.234
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,AP,AP,4860.092
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,ATSI,OE,5842.788
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,ATSI,PAPWR,480.055
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,CE,CE,9746.019
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,DAY,DAY,1604.0
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,DEOK,DEOK,2551.067
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,DUQ,DUQ,1282.841
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,EKPC,EKPC,1290.373
2022-12-31T22:00:00-05:00,2023-01-01T03:00:00+00:00,2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,WEST,OVEC,OVEC,42.0
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,AE,AECO,925.102
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,AE,VMEU,66.185
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,BC,BC,2980.213
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,DPL,DPLCO,1662.92
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,DPL,EASTON,22.293
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,JC,JC,2156.258
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,ME,ME,1408.776
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PE,PE,3672.698
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PEP,PEPCO,2298.588
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PEP,SMECO,335.028
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PL,PLCO,3788.151
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PL,UGI,103.54
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PN,PN,1622.916
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,PS,PS,4150.68
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,MIDATL,RECO,RECO,136.53
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,RTO,RTO,RTO,75490.48
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,SOUTH,DOM,DOM,10993.247
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,AEP,AEPAPT,3665.485
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,AEP,AEPIMP,2632.494
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,AEP,AEPKPT,589.899
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,AEP,AEPOPT,5347.897
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,AP,AP,4717.363
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,ATSI,OE,5750.151
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,ATSI,PAPWR,464.021
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,CE,CE,9424.394
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,DAY,DAY,1561.0
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,DEOK,DEOK,2484.742
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,DUQ,DUQ,1240.914
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,EKPC,EKPC,1244.995
2022-12-31T23:00:00-05:00,2023-01-01T04:00:00+00:00,2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,WEST,OVEC,OVEC,44.0
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,AE,AECO,872.8
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,AE,VMEU,63.856
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,BC,BC,2845.347
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,DPL,DPLCO,1596.044
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,DPL,EASTON,21.469
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,JC,JC,2030.992
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,ME,ME,1344.875
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,PE,PE,3487.055
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,PEP,PEPCO,2249.343
2023-01-01T00:00:00-05:00,2023-01-01T05:00:00+00:00,2023-01-01T01:00:00-05:00,2023-01-01T06:00:00+00:00,MIDATL,PEP,SMECO,316.848
