interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_up,spinning_reserves
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_NP26_EXP,DAM,0.0,8.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T01:00:00-07:00,2022-06-01T08:00:00+00:00,2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.5,1.5
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_CAISO_EXP,DAM,0.15,5.9589,1.65,1.56426
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_NP26_EXP,DAM,0.0,6.0411,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T02:00:00-07:00,2022-06-01T09:00:00+00:00,2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.07,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_CAISO_EXP,DAM,0.15,4.0,1.0,1.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0
