interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,region,market,non_spinning_reserves,spinning_reserves,regulation_up,regulation_down,regulation_mileage_up,regulation_mileage_down
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.0,1.0,4.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T03:00:00-07:00,2022-06-01T10:00:00+00:00,2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.5,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.65,1.65,4.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T04:00:00-07:00,2022-06-01T11:00:00+00:00,2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,0.85,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_CAISO_EXP,DAM,0.15,5.0,5.09,6.28,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T05:00:00-07:00,2022-06-01T12:00:00+00:00,2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,1.41,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.0,1.53987,4.85207,0.01,0.1
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_NP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_SP26,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T06:00:00-07:00,2022-06-01T13:00:00+00:00,2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,AS_SP26_EXP,DAM,0.0,0.0,2.05681,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_CAISO,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01T07:00:00-07:00,2022-06-01T14:00:00+00:00,2022-06-01T08:00:00-07:00,2022-06-01T15:00:00+00:00,AS_CAISO_EXP,DAM,0.15,1.0,1.55,12.01,0.0,0.0
