interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,wind
2023-03-11T00:00:00-05:00,2023-03-11T05:00:00+00:00,2023-03-12T00:00:00-05:00,2023-03-12T05:00:00+00:00,3799594.0
2023-03-12T00:00:00-05:00,2023-03-12T05:00:00+00:00,2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,4316685.0
2023-03-13T00:00:00-05:00,2023-03-13T05:00:00+00:00,2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,3486881.0
2023-03-14T00:00:00-05:00,2023-03-14T05:00:00+00:00,2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,3309060.0
2023-03-15T00:00:00-05:00,2023-03-15T05:00:00+00:00,2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,5153345.0
2023-03-16T00:00:00-05:00,2023-03-16T05:00:00+00:00,2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,5456827.0
2023-03-17T00:00:00-05:00,2023-03-17T05:00:00+00:00,2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,6100130.0
2023-03-18T00:00:00-05:00,2023-03-18T05:00:00+00:00,2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,5922251.0
2023-03-19T00:00:00-05:00,2023-03-19T05:00:00+00:00,2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,4624604.0
2023-03-20T00:00:00-05:00,2023-03-20T05:00:00+00:00,2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,4438956.0
2023-03-21T00:00:00-05:00,2023-03-21T05:00:00+00:00,2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,4118862.0
2023-03-22T00:00:00-05:00,2023-03-22T05:00:00+00:00,2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,3007605.0
2023-03-23T00:00:00-05:00,2023-03-23T05:00:00+00:00,2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,2094577.0
2023-03-24T00:00:00-05:00,2023-03-24T05:00:00+00:00,2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,1997195.0
2023-03-25T00:00:00-05:00,2023-03-25T05:00:00+00:00,2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,2597356.0
2023-03-26T00:00:00-05:00,2023-03-26T05:00:00+00:00,2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,3139838.0
2023-03-27T00:00:00-05:00,2023-03-27T05:00:00+00:00,2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,1916772.0
2023-03-28T00:00:00-05:00,2023-03-28T05:00:00+00:00,2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,2722043.0
2023-03-29T00:00:00-05:00,2023-03-29T05:00:00+00:00,2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,3200103.0
2023-03-30T00:00:00-05:00,2023-03-30T05:00:00+00:00,2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,4805653.0
2023-03-31T00:00:00-05:00,2023-03-31T05:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,5291366.0
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,4173914.0
2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,4890566.0
2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,3087706.0
2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,4867043.0
2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,5691481.0
2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,3156546.0
2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,3683259.0
2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,4417169.0
2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,4515534.0
2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,2678254.0
2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,4890097.0
2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,5860405.0
2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,4669743.0
2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,4238390.0
2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,4570985.0
2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,5571811.0
2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,5067220.0
2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,4126587.0
2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,4739608.0
2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,4497432.0
2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,4831555.0
2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,4723515.0
2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,1940077.0
2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,1539367.0
2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,2330470.0
2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,2604875.0
2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,3705534.0
2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,3049774.0
2023-04-29T00:00:00-05:00,2023-04-29T05:00:00+00:00,2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,3787068.0
2023-04-30T00:00:00-05:00,2023-04-30T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,5338992.0
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,5703222.0
2023-05-02T00:00:00-05:00,2023-05-02T05:00:00+00:00,2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,5398016.0
2023-05-03T00:00:00-05:00,2023-05-03T05:00:00+00:00,2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,1367541.0
2023-05-04T00:00:00-05:00,2023-05-04T05:00:00+00:00,2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,2387600.0
2023-05-05T00:00:00-05:00,2023-05-05T05:00:00+00:00,2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,2994488.0
2023-05-06T00:00:00-05:00,2023-05-06T05:00:00+00:00,2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,3476100.0
2023-05-07T00:00:00-05:00,2023-05-07T05:00:00+00:00,2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,2071235.0
2023-05-08T00:00:00-05:00,2023-05-08T05:00:00+00:00,2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,1499264.0
2023-05-09T00:00:00-05:00,2023-05-09T05:00:00+00:00,2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,2440272.0
2023-05-10T00:00:00-05:00,2023-05-10T05:00:00+00:00,2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,3403588.0
2023-05-11T00:00:00-05:00,2023-05-11T05:00:00+00:00,2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,2946730.0
2023-05-12T00:00:00-05:00,2023-05-12T05:00:00+00:00,2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,2778497.0
2023-05-13T00:00:00-05:00,2023-05-13T05:00:00+00:00,2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,3944060.0
2023-05-14T00:00:00-05:00,2023-05-14T05:00:00+00:00,2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,3910082.0
2023-05-15T00:00:00-05:00,2023-05-15T05:00:00+00:00,2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,1366764.0
2023-05-16T00:00:00-05:00,2023-05-16T05:00:00+00:00,2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,2048261.0
2023-05-17T00:00:00-05:00,2023-05-17T05:00:00+00:00,2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,2177787.0
2023-05-18T00:00:00-05:00,2023-05-18T05:00:00+00:00,2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,3110009.0
2023-05-19T00:00:00-05:00,2023-05-19T05:00:00+00:00,2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,3996379.0
2023-05-20T00:00:00-05:00,2023-05-20T05:00:00+00:00,2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,1383414.0
2023-05-21T00:00:00-05:00,2023-05-21T05:00:00+00:00,2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,1455632.0
2023-05-22T00:00:00-05:00,2023-05-22T05:00:00+00:00,2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,2039997.0
2023-05-23T00:00:00-05:00,2023-05-23T05:00:00+00:00,2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,1771094.0
2023-05-24T00:00:00-05:00,2023-05-24T05:00:00+00:00,2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,2787330.0
2023-05-25T00:00:00-05:00,2023-05-25T05:00:00+00:00,2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,4371071.0
2023-05-26T00:00:00-05:00,2023-05-26T05:00:00+00:00,2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,3673313.0
2023-05-27T00:00:00-05:00,2023-05-27T05:00:00+00:00,2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,3229167.0
2023-05-28T00:00:00-05:00,2023-05-28T05:00:00+00:00,2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,2558711.0
2023-05-29T00:00:00-05:00,2023-05-29T05:00:00+00:00,2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,3007735.0
2023-05-30T00:00:00-05:00,2023-05-30T05:00:00+00:00,2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,2745543.0
2023-05-31T00:00:00-05:00,2023-05-31T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2535303.0
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,2050910.0
2023-06-02T00:00:00-05:00,2023-06-02T05:00:00+00:00,2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,1844502.0
2023-06-03T00:00:00-05:00,2023-06-03T05:00:00+00:00,2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,1707469.0
2023-06-04T00:00:00-05:00,2023-06-04T05:00:00+00:00,2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,1309548.0
2023-06-05T00:00:00-05:00,2023-06-05T05:00:00+00:00,2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,588522.0
2023-06-06T00:00:00-05:00,2023-06-06T05:00:00+00:00,2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,884090.0
2023-06-07T00:00:00-05:00,2023-06-07T05:00:00+00:00,2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,1289571.0
2023-06-08T00:00:00-05:00,2023-06-08T05:00:00+00:00,2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,1478430.0
2023-06-09T00:00:00-05:00,2023-06-09T05:00:00+00:00,2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,997410.0
2023-06-10T00:00:00-05:00,2023-06-10T05:00:00+00:00,2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,1660891.0
2023-06-11T00:00:00-05:00,2023-06-11T05:00:00+00:00,2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,3658011.0
2023-06-12T00:00:00-05:00,2023-06-12T05:00:00+00:00,2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,1829648.0
2023-06-13T00:00:00-05:00,2023-06-13T05:00:00+00:00,2023-06-14T00:00:00-05:00,2023-06-14T05:00:00+00:00,2728688.0
2023-06-14T00:00:00-05:00,2023-06-14T05:00:00+00:00,2023-06-15T00:00:00-05:00,2023-06-15T05:00:00+00:00,811862.0
2023-06-15T00:00:00-05:00,2023-06-15T05:00:00+00:00,2023-06-16T00:00:00-05:00,2023-06-16T05:00:00+00:00,1378296.0
2023-06-16T00:00:00-05:00,2023-06-16T05:00:00+00:00,2023-06-17T00:00:00-05:00,2023-06-17T05:00:00+00:00,1593515.0
2023-06-17T00:00:00-05:00,2023-06-17T05:00:00+00:00,2023-06-18T00:00:00-05:00,2023-06-18T05:00:00+00:00,1337504.0
