interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,2023-01-15T05:05:00-05:00,2023-01-15T10:05:00+00:00,70821
2023-01-15T05:05:00-05:00,2023-01-15T10:05:00+00:00,2023-01-15T05:10:00-05:00,2023-01-15T10:10:00+00:00,70809
2023-01-15T05:10:00-05:00,2023-01-15T10:10:00+00:00,2023-01-15T05:15:00-05:00,2023-01-15T10:15:00+00:00,71054
2023-01-15T05:15:00-05:00,2023-01-15T10:15:00+00:00,2023-01-15T05:20:00-05:00,2023-01-15T10:20:00+00:00,71154
2023-01-15T05:20:00-05:00,2023-01-15T10:20:00+00:00,2023-01-15T05:25:00-05:00,2023-01-15T10:25:00+00:00,71219
2023-01-15T05:25:00-05:00,2023-01-15T10:25:00+00:00,2023-01-15T05:30:00-05:00,2023-01-15T10:30:00+00:00,71252
2023-01-15T05:30:00-05:00,2023-01-15T10:30:00+00:00,2023-01-15T05:35:00-05:00,2023-01-15T10:35:00+00:00,71387
2023-01-15T05:35:00-05:00,2023-01-15T10:35:00+00:00,2023-01-15T05:40:00-05:00,2023-01-15T10:40:00+00:00,71510
2023-01-15T05:40:00-05:00,2023-01-15T10:40:00+00:00,2023-01-15T05:45:00-05:00,2023-01-15T10:45:00+00:00,71556
2023-01-15T05:45:00-05:00,2023-01-15T10:45:00+00:00,2023-01-15T05:50:00-05:00,2023-01-15T10:50:00+00:00,71581
2023-01-15T05:50:00-05:00,2023-01-15T10:50:00+00:00,2023-01-15T05:55:00-05:00,2023-01-15T10:55:00+00:00,71812
2023-01-15T05:55:00-05:00,2023-01-15T10:55:00+00:00,2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,71966
2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,2023-01-15T06:05:00-05:00,2023-01-15T11:05:00+00:00,72169
2023-01-15T06:05:00-05:00,2023-01-15T11:05:00+00:00,2023-01-15T06:10:00-05:00,2023-01-15T11:10:00+00:00,72519
2023-01-15T06:10:00-05:00,2023-01-15T11:10:00+00:00,2023-01-15T06:15:00-05:00,2023-01-15T11:15:00+00:00,72449
2023-01-15T06:15:00-05:00,2023-01-15T11:15:00+00:00,2023-01-15T06:20:00-05:00,2023-01-15T11:20:00+00:00,72355
2023-01-15T06:20:00-05:00,2023-01-15T11:20:00+00:00,2023-01-15T06:25:00-05:00,2023-01-15T11:25:00+00:00,72627
2023-01-15T06:25:00-05:00,2023-01-15T11:25:00+00:00,2023-01-15T06:30:00-05:00,2023-01-15T11:30:00+00:00,72473
2023-01-15T06:30:00-05:00,2023-01-15T11:30:00+00:00,2023-01-15T06:35:00-05:00,2023-01-15T11:35:00+00:00,72645
2023-01-15T06:35:00-05:00,2023-01-15T11:35:00+00:00,2023-01-15T06:40:00-05:00,2023-01-15T11:40:00+00:00,72953
2023-01-15T06:40:00-05:00,2023-01-15T11:40:00+00:00,2023-01-15T06:45:00-05:00,2023-01-15T11:45:00+00:00,73084
2023-01-15T06:45:00-05:00,2023-01-15T11:45:00+00:00,2023-01-15T06:50:00-05:00,2023-01-15T11:50:00+00:00,73065
2023-01-15T06:50:00-05:00,2023-01-15T11:50:00+00:00,2023-01-15T06:55:00-05:00,2023-01-15T11:55:00+00:00,73318
2023-01-15T06:55:00-05:00,2023-01-15T11:55:00+00:00,2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,73557
2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,2023-01-15T07:05:00-05:00,2023-01-15T12:05:00+00:00,73727
2023-01-15T07:05:00-05:00,2023-01-15T12:05:00+00:00,2023-01-15T07:10:00-05:00,2023-01-15T12:10:00+00:00,73938
2023-01-15T07:10:00-05:00,2023-01-15T12:10:00+00:00,2023-01-15T07:15:00-05:00,2023-01-15T12:15:00+00:00,74345
2023-01-15T07:15:00-05:00,2023-01-15T12:15:00+00:00,2023-01-15T07:20:00-05:00,2023-01-15T12:20:00+00:00,74577
2023-01-15T07:20:00-05:00,2023-01-15T12:20:00+00:00,2023-01-15T07:25:00-05:00,2023-01-15T12:25:00+00:00,74804
2023-01-15T07:25:00-05:00,2023-01-15T12:25:00+00:00,2023-01-15T07:30:00-05:00,2023-01-15T12:30:00+00:00,74707
2023-01-15T07:30:00-05:00,2023-01-15T12:30:00+00:00,2023-01-15T07:35:00-05:00,2023-01-15T12:35:00+00:00,74741
2023-01-15T07:35:00-05:00,2023-01-15T12:35:00+00:00,2023-01-15T07:40:00-05:00,2023-01-15T12:40:00+00:00,74705
2023-01-15T07:40:00-05:00,2023-01-15T12:40:00+00:00,2023-01-15T07:45:00-05:00,2023-01-15T12:45:00+00:00,74783
2023-01-15T07:45:00-05:00,2023-01-15T12:45:00+00:00,2023-01-15T07:50:00-05:00,2023-01-15T12:50:00+00:00,75216
2023-01-15T07:50:00-05:00,2023-01-15T12:50:00+00:00,2023-01-15T07:55:00-05:00,2023-01-15T12:55:00+00:00,75523
2023-01-15T07:55:00-05:00,2023-01-15T12:55:00+00:00,2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,75594
2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,2023-01-15T08:05:00-05:00,2023-01-15T13:05:00+00:00,75789
2023-01-15T08:05:00-05:00,2023-01-15T13:05:00+00:00,2023-01-15T08:10:00-05:00,2023-01-15T13:10:00+00:00,76227
2023-01-15T08:10:00-05:00,2023-01-15T13:10:00+00:00,2023-01-15T08:15:00-05:00,2023-01-15T13:15:00+00:00,76206
2023-01-15T08:15:00-05:00,2023-01-15T13:15:00+00:00,2023-01-15T08:20:00-05:00,2023-01-15T13:20:00+00:00,76321
2023-01-15T08:20:00-05:00,2023-01-15T13:20:00+00:00,2023-01-15T08:25:00-05:00,2023-01-15T13:25:00+00:00,76514
2023-01-15T08:25:00-05:00,2023-01-15T13:25:00+00:00,2023-01-15T08:30:00-05:00,2023-01-15T13:30:00+00:00,76708
2023-01-15T08:30:00-05:00,2023-01-15T13:30:00+00:00,2023-01-15T08:35:00-05:00,2023-01-15T13:35:00+00:00,76925
