operation_profile,state_of_charge,net_revenue,total_revenue,charging_cost,degradation_penalty
0.0,0.4472,-0.0,-0.0,0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
-0.0,0.4472,-0.0,-0.0,-0.0,0.0
0.0,0.4472,-0.0,-0.0,0.0,0.0
100.0,0.1694,5727.272,8227.272,0.0,-2500.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
0.0,0.1694,-0.0,-0.0,0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
-0.0,0.1694,-0.0,-0.0,-0.0,0.0
