interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,coal
2023-01-14T21:10:00-05:00,2023-01-15T02:10:00+00:00,2023-01-14T21:15:00-05:00,2023-01-15T02:15:00+00:00,24130.0
2023-01-14T21:15:00-05:00,2023-01-15T02:15:00+00:00,2023-01-14T21:20:00-05:00,2023-01-15T02:20:00+00:00,24150.0
2023-01-14T21:20:00-05:00,2023-01-15T02:20:00+00:00,2023-01-14T21:25:00-05:00,2023-01-15T02:25:00+00:00,24169.0
2023-01-14T21:25:00-05:00,2023-01-15T02:25:00+00:00,2023-01-14T21:30:00-05:00,2023-01-15T02:30:00+00:00,24311.0
2023-01-14T21:30:00-05:00,2023-01-15T02:30:00+00:00,2023-01-14T21:35:00-05:00,2023-01-15T02:35:00+00:00,24360.0
2023-01-14T21:35:00-05:00,2023-01-15T02:35:00+00:00,2023-01-14T21:40:00-05:00,2023-01-15T02:40:00+00:00,24344.0
2023-01-14T21:40:00-05:00,2023-01-15T02:40:00+00:00,2023-01-14T21:45:00-05:00,2023-01-15T02:45:00+00:00,24174.0
2023-01-14T21:45:00-05:00,2023-01-15T02:45:00+00:00,2023-01-14T21:50:00-05:00,2023-01-15T02:50:00+00:00,24003.0
2023-01-14T21:50:00-05:00,2023-01-15T02:50:00+00:00,2023-01-14T21:55:00-05:00,2023-01-15T02:55:00+00:00,23917.0
2023-01-14T21:55:00-05:00,2023-01-15T02:55:00+00:00,2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,23845.0
2023-01-14T22:00:00-05:00,2023-01-15T03:00:00+00:00,2023-01-14T22:05:00-05:00,2023-01-15T03:05:00+00:00,23834.0
2023-01-14T22:05:00-05:00,2023-01-15T03:05:00+00:00,2023-01-14T22:10:00-05:00,2023-01-15T03:10:00+00:00,23748.0
2023-01-14T22:10:00-05:00,2023-01-15T03:10:00+00:00,2023-01-14T22:15:00-05:00,2023-01-15T03:15:00+00:00,23670.0
2023-01-14T22:15:00-05:00,2023-01-15T03:15:00+00:00,2023-01-14T22:20:00-05:00,2023-01-15T03:20:00+00:00,23593.0
2023-01-14T22:20:00-05:00,2023-01-15T03:20:00+00:00,2023-01-14T22:25:00-05:00,2023-01-15T03:25:00+00:00,23547.0
2023-01-14T22:25:00-05:00,2023-01-15T03:25:00+00:00,2023-01-14T22:30:00-05:00,2023-01-15T03:30:00+00:00,23721.0
2023-01-14T22:30:00-05:00,2023-01-15T03:30:00+00:00,2023-01-14T22:35:00-05:00,2023-01-15T03:35:00+00:00,23688.0
2023-01-14T22:35:00-05:00,2023-01-15T03:35:00+00:00,2023-01-14T22:40:00-05:00,2023-01-15T03:40:00+00:00,23546.0
2023-01-14T22:40:00-05:00,2023-01-15T03:40:00+00:00,2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,23524.0
2023-01-14T22:45:00-05:00,2023-01-15T03:45:00+00:00,2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,23503.0
2023-01-14T22:50:00-05:00,2023-01-15T03:50:00+00:00,2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,23337.0
2023-01-14T22:55:00-05:00,2023-01-15T03:55:00+00:00,2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,23339.0
2023-01-14T23:00:00-05:00,2023-01-15T04:00:00+00:00,2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,23232.0
2023-01-14T23:05:00-05:00,2023-01-15T04:05:00+00:00,2023-01-14T23:10:00-05:00,2023-01-15T04:10:00+00:00,23266.0
2023-01-14T23:10:00-05:00,2023-01-15T04:10:00+00:00,2023-01-14T23:15:00-05:00,2023-01-15T04:15:00+00:00,23236.0
2023-01-14T23:15:00-05:00,2023-01-15T04:15:00+00:00,2023-01-14T23:20:00-05:00,2023-01-15T04:20:00+00:00,23207.0
2023-01-14T23:20:00-05:00,2023-01-15T04:20:00+00:00,2023-01-14T23:25:00-05:00,2023-01-15T04:25:00+00:00,23116.0
2023-01-14T23:25:00-05:00,2023-01-15T04:25:00+00:00,2023-01-14T23:30:00-05:00,2023-01-15T04:30:00+00:00,23283.0
2023-01-14T23:30:00-05:00,2023-01-15T04:30:00+00:00,2023-01-14T23:35:00-05:00,2023-01-15T04:35:00+00:00,23179.0
2023-01-14T23:35:00-05:00,2023-01-15T04:35:00+00:00,2023-01-14T23:40:00-05:00,2023-01-15T04:40:00+00:00,23046.0
2023-01-14T23:40:00-05:00,2023-01-15T04:40:00+00:00,2023-01-14T23:45:00-05:00,2023-01-15T04:45:00+00:00,23048.0
2023-01-14T23:45:00-05:00,2023-01-15T04:45:00+00:00,2023-01-14T23:50:00-05:00,2023-01-15T04:50:00+00:00,23051.0
2023-01-14T23:50:00-05:00,2023-01-15T04:50:00+00:00,2023-01-14T23:55:00-05:00,2023-01-15T04:55:00+00:00,23088.0
2023-01-14T23:55:00-05:00,2023-01-15T04:55:00+00:00,2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,23003.0
2023-01-15T00:00:00-05:00,2023-01-15T05:00:00+00:00,2023-01-15T00:05:00-05:00,2023-01-15T05:05:00+00:00,22800.0
2023-01-15T00:05:00-05:00,2023-01-15T05:05:00+00:00,2023-01-15T00:10:00-05:00,2023-01-15T05:10:00+00:00,22529.0
2023-01-15T00:10:00-05:00,2023-01-15T05:10:00+00:00,2023-01-15T00:15:00-05:00,2023-01-15T05:15:00+00:00,22651.0
2023-01-15T00:15:00-05:00,2023-01-15T05:15:00+00:00,2023-01-15T00:20:00-05:00,2023-01-15T05:20:00+00:00,22787.0
2023-01-15T00:20:00-05:00,2023-01-15T05:20:00+00:00,2023-01-15T00:25:00-05:00,2023-01-15T05:25:00+00:00,22846.0
2023-01-15T00:25:00-05:00,2023-01-15T05:25:00+00:00,2023-01-15T00:30:00-05:00,2023-01-15T05:30:00+00:00,23040.0
2023-01-15T00:30:00-05:00,2023-01-15T05:30:00+00:00,2023-01-15T00:35:00-05:00,2023-01-15T05:35:00+00:00,23044.0
2023-01-15T00:35:00-05:00,2023-01-15T05:35:00+00:00,2023-01-15T00:40:00-05:00,2023-01-15T05:40:00+00:00,22994.0
2023-01-15T00:40:00-05:00,2023-01-15T05:40:00+00:00,2023-01-15T00:45:00-05:00,2023-01-15T05:45:00+00:00,22944.0
2023-01-15T00:45:00-05:00,2023-01-15T05:45:00+00:00,2023-01-15T00:50:00-05:00,2023-01-15T05:50:00+00:00,22846.0
2023-01-15T00:50:00-05:00,2023-01-15T05:50:00+00:00,2023-01-15T00:55:00-05:00,2023-01-15T05:55:00+00:00,22719.0
2023-01-15T00:55:00-05:00,2023-01-15T05:55:00+00:00,2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,22582.0
2023-01-15T01:00:00-05:00,2023-01-15T06:00:00+00:00,2023-01-15T01:05:00-05:00,2023-01-15T06:05:00+00:00,22495.0
2023-01-15T01:05:00-05:00,2023-01-15T06:05:00+00:00,2023-01-15T01:10:00-05:00,2023-01-15T06:10:00+00:00,22244.0
2023-01-15T01:10:00-05:00,2023-01-15T06:10:00+00:00,2023-01-15T01:15:00-05:00,2023-01-15T06:15:00+00:00,22177.0
2023-01-15T01:15:00-05:00,2023-01-15T06:15:00+00:00,2023-01-15T01:20:00-05:00,2023-01-15T06:20:00+00:00,22046.0
2023-01-15T01:20:00-05:00,2023-01-15T06:20:00+00:00,2023-01-15T01:25:00-05:00,2023-01-15T06:25:00+00:00,22011.0
2023-01-15T01:25:00-05:00,2023-01-15T06:25:00+00:00,2023-01-15T01:30:00-05:00,2023-01-15T06:30:00+00:00,21963.0
2023-01-15T01:30:00-05:00,2023-01-15T06:30:00+00:00,2023-01-15T01:35:00-05:00,2023-01-15T06:35:00+00:00,21907.0
2023-01-15T01:35:00-05:00,2023-01-15T06:35:00+00:00,2023-01-15T01:40:00-05:00,2023-01-15T06:40:00+00:00,21945.0
2023-01-15T01:40:00-05:00,2023-01-15T06:40:00+00:00,2023-01-15T01:45:00-05:00,2023-01-15T06:45:00+00:00,21892.0
2023-01-15T01:45:00-05:00,2023-01-15T06:45:00+00:00,2023-01-15T01:50:00-05:00,2023-01-15T06:50:00+00:00,21848.0
2023-01-15T01:50:00-05:00,2023-01-15T06:50:00+00:00,2023-01-15T01:55:00-05:00,2023-01-15T06:55:00+00:00,21850.0
2023-01-15T01:55:00-05:00,2023-01-15T06:55:00+00:00,2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,21793.0
2023-01-15T02:00:00-05:00,2023-01-15T07:00:00+00:00,2023-01-15T02:05:00-05:00,2023-01-15T07:05:00+00:00,21679.0
2023-01-15T02:05:00-05:00,2023-01-15T07:05:00+00:00,2023-01-15T02:10:00-05:00,2023-01-15T07:10:00+00:00,21556.0
2023-01-15T02:10:00-05:00,2023-01-15T07:10:00+00:00,2023-01-15T02:15:00-05:00,2023-01-15T07:15:00+00:00,21651.0
2023-01-15T02:15:00-05:00,2023-01-15T07:15:00+00:00,2023-01-15T02:20:00-05:00,2023-01-15T07:20:00+00:00,21611.0
2023-01-15T02:20:00-05:00,2023-01-15T07:20:00+00:00,2023-01-15T02:25:00-05:00,2023-01-15T07:25:00+00:00,21577.0
2023-01-15T02:25:00-05:00,2023-01-15T07:25:00+00:00,2023-01-15T02:30:00-05:00,2023-01-15T07:30:00+00:00,21538.0
2023-01-15T02:30:00-05:00,2023-01-15T07:30:00+00:00,2023-01-15T02:35:00-05:00,2023-01-15T07:35:00+00:00,21729.0
2023-01-15T02:35:00-05:00,2023-01-15T07:35:00+00:00,2023-01-15T02:40:00-05:00,2023-01-15T07:40:00+00:00,21725.0
2023-01-15T02:40:00-05:00,2023-01-15T07:40:00+00:00,2023-01-15T02:45:00-05:00,2023-01-15T07:45:00+00:00,21752.0
2023-01-15T02:45:00-05:00,2023-01-15T07:45:00+00:00,2023-01-15T02:50:00-05:00,2023-01-15T07:50:00+00:00,21667.0
2023-01-15T02:50:00-05:00,2023-01-15T07:50:00+00:00,2023-01-15T02:55:00-05:00,2023-01-15T07:55:00+00:00,21628.0
2023-01-15T02:55:00-05:00,2023-01-15T07:55:00+00:00,2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,21546.0
2023-01-15T03:00:00-05:00,2023-01-15T08:00:00+00:00,2023-01-15T03:05:00-05:00,2023-01-15T08:05:00+00:00,21528.0
2023-01-15T03:05:00-05:00,2023-01-15T08:05:00+00:00,2023-01-15T03:10:00-05:00,2023-01-15T08:10:00+00:00,21453.0
2023-01-15T03:10:00-05:00,2023-01-15T08:10:00+00:00,2023-01-15T03:15:00-05:00,2023-01-15T08:15:00+00:00,21497.0
2023-01-15T03:15:00-05:00,2023-01-15T08:15:00+00:00,2023-01-15T03:20:00-05:00,2023-01-15T08:20:00+00:00,21457.0
2023-01-15T03:20:00-05:00,2023-01-15T08:20:00+00:00,2023-01-15T03:25:00-05:00,2023-01-15T08:25:00+00:00,21619.0
2023-01-15T03:25:00-05:00,2023-01-15T08:25:00+00:00,2023-01-15T03:30:00-05:00,2023-01-15T08:30:00+00:00,21773.0
2023-01-15T03:30:00-05:00,2023-01-15T08:30:00+00:00,2023-01-15T03:35:00-05:00,2023-01-15T08:35:00+00:00,21896.0
2023-01-15T03:35:00-05:00,2023-01-15T08:35:00+00:00,2023-01-15T03:40:00-05:00,2023-01-15T08:40:00+00:00,21950.0
2023-01-15T03:40:00-05:00,2023-01-15T08:40:00+00:00,2023-01-15T03:45:00-05:00,2023-01-15T08:45:00+00:00,21961.0
2023-01-15T03:45:00-05:00,2023-01-15T08:45:00+00:00,2023-01-15T03:50:00-05:00,2023-01-15T08:50:00+00:00,21931.0
2023-01-15T03:50:00-05:00,2023-01-15T08:50:00+00:00,2023-01-15T03:55:00-05:00,2023-01-15T08:55:00+00:00,21905.0
2023-01-15T03:55:00-05:00,2023-01-15T08:55:00+00:00,2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,21707.0
2023-01-15T04:00:00-05:00,2023-01-15T09:00:00+00:00,2023-01-15T04:05:00-05:00,2023-01-15T09:05:00+00:00,21560.0
2023-01-15T04:05:00-05:00,2023-01-15T09:05:00+00:00,2023-01-15T04:10:00-05:00,2023-01-15T09:10:00+00:00,21641.0
2023-01-15T04:10:00-05:00,2023-01-15T09:10:00+00:00,2023-01-15T04:15:00-05:00,2023-01-15T09:15:00+00:00,21723.0
2023-01-15T04:15:00-05:00,2023-01-15T09:15:00+00:00,2023-01-15T04:20:00-05:00,2023-01-15T09:20:00+00:00,21734.0
2023-01-15T04:20:00-05:00,2023-01-15T09:20:00+00:00,2023-01-15T04:25:00-05:00,2023-01-15T09:25:00+00:00,21727.0
2023-01-15T04:25:00-05:00,2023-01-15T09:25:00+00:00,2023-01-15T04:30:00-05:00,2023-01-15T09:30:00+00:00,21670.0
2023-01-15T04:30:00-05:00,2023-01-15T09:30:00+00:00,2023-01-15T04:35:00-05:00,2023-01-15T09:35:00+00:00,21776.0
2023-01-15T04:35:00-05:00,2023-01-15T09:35:00+00:00,2023-01-15T04:40:00-05:00,2023-01-15T09:40:00+00:00,21906.0
2023-01-15T04:40:00-05:00,2023-01-15T09:40:00+00:00,2023-01-15T04:45:00-05:00,2023-01-15T09:45:00+00:00,21937.0
2023-01-15T04:45:00-05:00,2023-01-15T09:45:00+00:00,2023-01-15T04:50:00-05:00,2023-01-15T09:50:00+00:00,21975.0
2023-01-15T04:50:00-05:00,2023-01-15T09:50:00+00:00,2023-01-15T04:55:00-05:00,2023-01-15T09:55:00+00:00,21929.0
2023-01-15T04:55:00-05:00,2023-01-15T09:55:00+00:00,2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,21896.0
2023-01-15T05:00:00-05:00,2023-01-15T10:00:00+00:00,2023-01-15T05:05:00-05:00,2023-01-15T10:05:00+00:00,21806.0
2023-01-15T05:05:00-05:00,2023-01-15T10:05:00+00:00,2023-01-15T05:10:00-05:00,2023-01-15T10:10:00+00:00,21831.0
2023-01-15T05:10:00-05:00,2023-01-15T10:10:00+00:00,2023-01-15T05:15:00-05:00,2023-01-15T10:15:00+00:00,21775.0
2023-01-15T05:15:00-05:00,2023-01-15T10:15:00+00:00,2023-01-15T05:20:00-05:00,2023-01-15T10:20:00+00:00,21837.0
2023-01-15T05:20:00-05:00,2023-01-15T10:20:00+00:00,2023-01-15T05:25:00-05:00,2023-01-15T10:25:00+00:00,21890.0
2023-01-15T05:25:00-05:00,2023-01-15T10:25:00+00:00,2023-01-15T05:30:00-05:00,2023-01-15T10:30:00+00:00,21846.0
2023-01-15T05:30:00-05:00,2023-01-15T10:30:00+00:00,2023-01-15T05:35:00-05:00,2023-01-15T10:35:00+00:00,21840.0
2023-01-15T05:35:00-05:00,2023-01-15T10:35:00+00:00,2023-01-15T05:40:00-05:00,2023-01-15T10:40:00+00:00,21841.0
2023-01-15T05:40:00-05:00,2023-01-15T10:40:00+00:00,2023-01-15T05:45:00-05:00,2023-01-15T10:45:00+00:00,21842.0
2023-01-15T05:45:00-05:00,2023-01-15T10:45:00+00:00,2023-01-15T05:50:00-05:00,2023-01-15T10:50:00+00:00,21782.0
2023-01-15T05:50:00-05:00,2023-01-15T10:50:00+00:00,2023-01-15T05:55:00-05:00,2023-01-15T10:55:00+00:00,21844.0
2023-01-15T05:55:00-05:00,2023-01-15T10:55:00+00:00,2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,21936.0
2023-01-15T06:00:00-05:00,2023-01-15T11:00:00+00:00,2023-01-15T06:05:00-05:00,2023-01-15T11:05:00+00:00,21919.0
2023-01-15T06:05:00-05:00,2023-01-15T11:05:00+00:00,2023-01-15T06:10:00-05:00,2023-01-15T11:10:00+00:00,21936.0
2023-01-15T06:10:00-05:00,2023-01-15T11:10:00+00:00,2023-01-15T06:15:00-05:00,2023-01-15T11:15:00+00:00,22066.0
2023-01-15T06:15:00-05:00,2023-01-15T11:15:00+00:00,2023-01-15T06:20:00-05:00,2023-01-15T11:20:00+00:00,22310.0
2023-01-15T06:20:00-05:00,2023-01-15T11:20:00+00:00,2023-01-15T06:25:00-05:00,2023-01-15T11:25:00+00:00,22613.0
2023-01-15T06:25:00-05:00,2023-01-15T11:25:00+00:00,2023-01-15T06:30:00-05:00,2023-01-15T11:30:00+00:00,22694.0
2023-01-15T06:30:00-05:00,2023-01-15T11:30:00+00:00,2023-01-15T06:35:00-05:00,2023-01-15T11:35:00+00:00,22560.0
2023-01-15T06:35:00-05:00,2023-01-15T11:35:00+00:00,2023-01-15T06:40:00-05:00,2023-01-15T11:40:00+00:00,22617.0
2023-01-15T06:40:00-05:00,2023-01-15T11:40:00+00:00,2023-01-15T06:45:00-05:00,2023-01-15T11:45:00+00:00,22655.0
2023-01-15T06:45:00-05:00,2023-01-15T11:45:00+00:00,2023-01-15T06:50:00-05:00,2023-01-15T11:50:00+00:00,22647.0
2023-01-15T06:50:00-05:00,2023-01-15T11:50:00+00:00,2023-01-15T06:55:00-05:00,2023-01-15T11:55:00+00:00,22801.0
2023-01-15T06:55:00-05:00,2023-01-15T11:55:00+00:00,2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,22776.0
2023-01-15T07:00:00-05:00,2023-01-15T12:00:00+00:00,2023-01-15T07:05:00-05:00,2023-01-15T12:05:00+00:00,22535.0
2023-01-15T07:05:00-05:00,2023-01-15T12:05:00+00:00,2023-01-15T07:10:00-05:00,2023-01-15T12:10:00+00:00,22339.0
2023-01-15T07:10:00-05:00,2023-01-15T12:10:00+00:00,2023-01-15T07:15:00-05:00,2023-01-15T12:15:00+00:00,22215.0
2023-01-15T07:15:00-05:00,2023-01-15T12:15:00+00:00,2023-01-15T07:20:00-05:00,2023-01-15T12:20:00+00:00,22476.0
2023-01-15T07:20:00-05:00,2023-01-15T12:20:00+00:00,2023-01-15T07:25:00-05:00,2023-01-15T12:25:00+00:00,22806.0
2023-01-15T07:25:00-05:00,2023-01-15T12:25:00+00:00,2023-01-15T07:30:00-05:00,2023-01-15T12:30:00+00:00,22959.0
2023-01-15T07:30:00-05:00,2023-01-15T12:30:00+00:00,2023-01-15T07:35:00-05:00,2023-01-15T12:35:00+00:00,23060.0
2023-01-15T07:35:00-05:00,2023-01-15T12:35:00+00:00,2023-01-15T07:40:00-05:00,2023-01-15T12:40:00+00:00,23035.0
2023-01-15T07:40:00-05:00,2023-01-15T12:40:00+00:00,2023-01-15T07:45:00-05:00,2023-01-15T12:45:00+00:00,22938.0
2023-01-15T07:45:00-05:00,2023-01-15T12:45:00+00:00,2023-01-15T07:50:00-05:00,2023-01-15T12:50:00+00:00,22729.0
2023-01-15T07:50:00-05:00,2023-01-15T12:50:00+00:00,2023-01-15T07:55:00-05:00,2023-01-15T12:55:00+00:00,22842.0
2023-01-15T07:55:00-05:00,2023-01-15T12:55:00+00:00,2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,22955.0
2023-01-15T08:00:00-05:00,2023-01-15T13:00:00+00:00,2023-01-15T08:05:00-05:00,2023-01-15T13:05:00+00:00,23116.0
2023-01-15T08:05:00-05:00,2023-01-15T13:05:00+00:00,2023-01-15T08:10:00-05:00,2023-01-15T13:10:00+00:00,23225.0
2023-01-15T08:10:00-05:00,2023-01-15T13:10:00+00:00,2023-01-15T08:15:00-05:00,2023-01-15T13:15:00+00:00,23293.0
2023-01-15T08:15:00-05:00,2023-01-15T13:15:00+00:00,2023-01-15T08:20:00-05:00,2023-01-15T13:20:00+00:00,23202.0
2023-01-15T08:20:00-05:00,2023-01-15T13:20:00+00:00,2023-01-15T08:25:00-05:00,2023-01-15T13:25:00+00:00,22953.0
2023-01-15T08:25:00-05:00,2023-01-15T13:25:00+00:00,2023-01-15T08:30:00-05:00,2023-01-15T13:30:00+00:00,22991.0
2023-01-15T08:30:00-05:00,2023-01-15T13:30:00+00:00,2023-01-15T08:35:00-05:00,2023-01-15T13:35:00+00:00,23135.0
2023-01-15T08:35:00-05:00,2023-01-15T13:35:00+00:00,2023-01-15T08:40:00-05:00,2023-01-15T13:40:00+00:00,23323.0
2023-01-15T08:40:00-05:00,2023-01-15T13:40:00+00:00,2023-01-15T08:45:00-05:00,2023-01-15T13:45:00+00:00,23373.0
2023-01-15T08:45:00-05:00,2023-01-15T13:45:00+00:00,2023-01-15T08:50:00-05:00,2023-01-15T13:50:00+00:00,23317.0
2023-01-15T08:50:00-05:00,2023-01-15T13:50:00+00:00,2023-01-15T08:55:00-05:00,2023-01-15T13:55:00+00:00,23387.0
2023-01-15T08:55:00-05:00,2023-01-15T13:55:00+00:00,2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,23221.0
2023-01-15T09:00:00-05:00,2023-01-15T14:00:00+00:00,2023-01-15T09:05:00-05:00,2023-01-15T14:05:00+00:00,23179.0
2023-01-15T09:05:00-05:00,2023-01-15T14:05:00+00:00,2023-01-15T09:10:00-05:00,2023-01-15T14:10:00+00:00,23461.0
2023-01-15T09:10:00-05:00,2023-01-15T14:10:00+00:00,2023-01-15T09:15:00-05:00,2023-01-15T14:15:00+00:00,23460.0
2023-01-15T09:15:00-05:00,2023-01-15T14:15:00+00:00,2023-01-15T09:20:00-05:00,2023-01-15T14:20:00+00:00,23583.0
2023-01-15T09:20:00-05:00,2023-01-15T14:20:00+00:00,2023-01-15T09:25:00-05:00,2023-01-15T14:25:00+00:00,23518.0
2023-01-15T09:25:00-05:00,2023-01-15T14:25:00+00:00,2023-01-15T09:30:00-05:00,2023-01-15T14:30:00+00:00,23329.0
2023-01-15T09:30:00-05:00,2023-01-15T14:30:00+00:00,2023-01-15T09:35:00-05:00,2023-01-15T14:35:00+00:00,23301.0
2023-01-15T09:35:00-05:00,2023-01-15T14:35:00+00:00,2023-01-15T09:40:00-05:00,2023-01-15T14:40:00+00:00,23442.0
2023-01-15T09:40:00-05:00,2023-01-15T14:40:00+00:00,2023-01-15T09:45:00-05:00,2023-01-15T14:45:00+00:00,23321.0
2023-01-15T09:45:00-05:00,2023-01-15T14:45:00+00:00,2023-01-15T09:50:00-05:00,2023-01-15T14:50:00+00:00,23088.0
2023-01-15T09:50:00-05:00,2023-01-15T14:50:00+00:00,2023-01-15T09:55:00-05:00,2023-01-15T14:55:00+00:00,22978.0
2023-01-15T09:55:00-05:00,2023-01-15T14:55:00+00:00,2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,22811.0
2023-01-15T10:00:00-05:00,2023-01-15T15:00:00+00:00,2023-01-15T10:05:00-05:00,2023-01-15T15:05:00+00:00,22620.0
2023-01-15T10:05:00-05:00,2023-01-15T15:05:00+00:00,2023-01-15T10:10:00-05:00,2023-01-15T15:10:00+00:00,22628.0
2023-01-15T10:10:00-05:00,2023-01-15T15:10:00+00:00,2023-01-15T10:15:00-05:00,2023-01-15T15:15:00+00:00,22696.0
2023-01-15T10:15:00-05:00,2023-01-15T15:15:00+00:00,2023-01-15T10:20:00-05:00,2023-01-15T15:20:00+00:00,22553.0
2023-01-15T10:20:00-05:00,2023-01-15T15:20:00+00:00,2023-01-15T10:25:00-05:00,2023-01-15T15:25:00+00:00,22331.0
2023-01-15T10:25:00-05:00,2023-01-15T15:25:00+00:00,2023-01-15T10:30:00-05:00,2023-01-15T15:30:00+00:00,22255.0
2023-01-15T10:30:00-05:00,2023-01-15T15:30:00+00:00,2023-01-15T10:35:00-05:00,2023-01-15T15:35:00+00:00,22382.0
2023-01-15T10:35:00-05:00,2023-01-15T15:35:00+00:00,2023-01-15T10:40:00-05:00,2023-01-15T15:40:00+00:00,22686.0
2023-01-15T10:40:00-05:00,2023-01-15T15:40:00+00:00,2023-01-15T10:45:00-05:00,2023-01-15T15:45:00+00:00,22592.0
2023-01-15T10:45:00-05:00,2023-01-15T15:45:00+00:00,2023-01-15T10:50:00-05:00,2023-01-15T15:50:00+00:00,22437.0
