title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
Reply Comments of LEAN Energy US re the proposed Advance Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'FINAL Reply Comments of LEAN Energy US in RM26-4.pdf', 'file_desc': 'Reply Comments of LEAN Energy US', 'file_size': 186664, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=486724D8-7708-C72D-9CE0-9AF07D300000'}]","['AUTHOR: LEAN Energy US', 'AGENT: Meguire Whitney', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comment of RWE Clean Energy, LLC re the Advanced Notice of Proposed Rulemaking on Interconnection of Large Loads to the Interstate Transmission System under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'RM26-4 ANOPR Reply Comments of RWECE 12.5.2025.pdf', 'file_desc': 'Reply Comments of RWECE in ANOPR Docket No. RM26-4-000', 'file_size': 436359, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=87F9B0C1-BC4F-CB46-9D2A-9AF062600000'}]","['AUTHOR: RWE Clean Energy, LLC', 'RECIPIENT: Office of the Secretary, FERC', 'AGENT: RWE Clean Energy Development, LLC']"
Reply Comments of Electricity Customer Alliance on the Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'RM26-4-000 Electricity Customer Alliance Reply Comments.pdf', 'file_desc': 'No description given', 'file_size': 232752, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=E9C88346-C47D-C8FA-9FFA-9AF045400000'}]","['AUTHOR: Electricity Customer Alliance', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of American Electric Power Service Corporation in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'AEP RM26-4 ANOPR Reply Comments 2025.12.05 (Final)(3587930.2).pdf', 'file_desc': 'No description given', 'file_size': 233022, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=951CF4C3-E106-CCDD-95D2-9AF028200000'}]","['AUTHOR: American Electric Power Service Corporation', 'AUTHOR: American Electric Power Service Corporation', 'AGENT: American Electric Power Company, Inc.', 'AGENT: American Electric Power Company', 'AUTHOR: American Electric Power Service Corporation', 'AGENT: AEP Service Corporation', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Edison Electric Institute in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking issued by FERC 10/27/2025 under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'EEI ANOPR Reply Comments - (final 12.5.25).pdf', 'file_desc': 'Reply Comments of the Edison Electric Institute', 'file_size': 342889, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BF1F2866-6905-C5AA-9D1B-9AF01CA00000'}]","['AUTHOR: Edison Electric Institute', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of the Independent Market Monitor for PJM under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': '2025-12-05 IMM Reply Comments re ANOPR (RM26-4)-AS FILED.pdf', 'file_desc': 'Reply Comments of the Independent Market Monitor for PJM', 'file_size': 267952, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=B68C2DA3-E5A9-C96A-90E2-9AF018400000'}]","['AUTHOR: Monitoring Analytics, LLC', 'AGENT: Monitoring Analytics, LLC', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of the Advanced Energy Management Alliance in response to Notice Inviting Comments re the interconnection of large loads under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'AEMA_large load ANOPR Reply Comments 12.5.25 VF.pdf', 'file_desc': 'Reply Comments of the Advanced Energy Management Alliance (AEMA)', 'file_size': 183354, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=62318560-92EE-C4C4-9328-9AF006D00000'}]","['AUTHOR: Advanced Energy Management Alliance', 'AGENT: Electric Advisors Consulting', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of Infrastructure Masons, Inc. on the Advance Notice of Proposed Rulemaking under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Reply Comments of Infrastructure Masons, Inc. (RM26-4) (12.5.25).pdf', 'file_desc': 'Reply Comments', 'file_size': 147598, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=101921C9-86E6-C5F6-A70E-9AF00A600000'}]","['AGENT: Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.', 'AGENT: Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.', 'AUTHOR: Infrastructure Masons, Inc.', 'AUTHOR: Infrastructure Masons, Inc.', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Paige Lambermont of the Competitive Enterprise Institute on the Advance Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'CEI CRE Reply Comment.pdf', 'file_desc': 'Reply Comments of Paige Lambermont of the Competitive Enterprise Institute', 'file_size': 236481, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=E7234C78-4F4C-C492-9D30-9AF001D00000'}]","['AUTHOR: COMPETITIVE ENTERPRISE INSTITUTE', 'AGENT: COMPETITIVE ENTERPRISE INSTITUTE', 'RECIPIENT: Office of the Secretary, FERC']"
"(doc-less) Motion to Intervene of Switch, Ltd. under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,[],"['AUTHOR: Switch, Ltd.', 'AGENT: No Organization Found', 'RECIPIENT: Office of the Secretary, FERC']"
