interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,26710.4
2023-04-02T00:00:00-05:00,2023-04-02T05:00:00+00:00,2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,20862.4
2023-04-03T00:00:00-05:00,2023-04-03T05:00:00+00:00,2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,24382.3
2023-04-04T00:00:00-05:00,2023-04-04T05:00:00+00:00,2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,19523.7
2023-04-05T00:00:00-05:00,2023-04-05T05:00:00+00:00,2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,25302.9384615385
2023-04-06T00:00:00-05:00,2023-04-06T05:00:00+00:00,2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,28889.6
2023-04-07T00:00:00-05:00,2023-04-07T05:00:00+00:00,2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,26867.6
2023-04-08T00:00:00-05:00,2023-04-08T05:00:00+00:00,2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,25985.0
2023-04-09T00:00:00-05:00,2023-04-09T05:00:00+00:00,2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,24383.0
2023-04-10T00:00:00-05:00,2023-04-10T05:00:00+00:00,2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,27151.8
2023-04-11T00:00:00-05:00,2023-04-11T05:00:00+00:00,2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,26828.0
2023-04-12T00:00:00-05:00,2023-04-12T05:00:00+00:00,2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,25888.0
2023-04-13T00:00:00-05:00,2023-04-13T05:00:00+00:00,2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,16539.8
2023-04-14T00:00:00-05:00,2023-04-14T05:00:00+00:00,2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,25789.6
2023-04-15T00:00:00-05:00,2023-04-15T05:00:00+00:00,2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,24324.8
2023-04-16T00:00:00-05:00,2023-04-16T05:00:00+00:00,2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,28225.6
2023-04-17T00:00:00-05:00,2023-04-17T05:00:00+00:00,2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,20142.4
2023-04-18T00:00:00-05:00,2023-04-18T05:00:00+00:00,2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,26351.3
2023-04-19T00:00:00-05:00,2023-04-19T05:00:00+00:00,2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,26767.8
2023-04-20T00:00:00-05:00,2023-04-20T05:00:00+00:00,2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,23065.7
2023-04-21T00:00:00-05:00,2023-04-21T05:00:00+00:00,2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,29696.4
2023-04-22T00:00:00-05:00,2023-04-22T05:00:00+00:00,2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,14334.5
2023-04-23T00:00:00-05:00,2023-04-23T05:00:00+00:00,2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,19475.0
2023-04-24T00:00:00-05:00,2023-04-24T05:00:00+00:00,2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,17085.1
2023-04-25T00:00:00-05:00,2023-04-25T05:00:00+00:00,2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,24754.4
2023-04-26T00:00:00-05:00,2023-04-26T05:00:00+00:00,2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,32291.9
2023-04-27T00:00:00-05:00,2023-04-27T05:00:00+00:00,2023-04-28T00:00:00-05:00,2023-04-28T05:00:00+00:00,33310.5
