year,mon,lmp
2023,1,17.93
2023,1,17.93
2023,1,18.35
2023,1,18.35
2023,1,17.86
2023,1,17.86
2023,1,18.22
2023,1,18.21
2023,1,18.61
2023,1,18.6
2023,1,19.01
2023,1,19.0
2023,1,19.25
2023,1,19.24
2023,1,18.97
2023,1,18.96
2023,1,18.55
2023,1,18.55
2023,1,18.61
2023,1,18.6
2023,1,39.97
2023,1,39.96
2023,1,34.77
2023,1,34.76
2023,1,23.35
2023,1,23.35
2023,1,20.49
2023,1,20.49
2023,1,19.2
2023,1,19.2
2023,1,19.05
2023,1,19.06
2023,1,18.58
2023,1,18.59
2023,1,19.25
2023,1,19.24
2023,1,19.2
2023,1,19.18
2023,1,19.69
2023,1,19.66
2023,1,20.63
2023,1,20.6
2023,1,22.38
2023,1,22.37
2023,1,25.76
2023,1,25.73
2023,1,30.17
2023,1,30.15
2023,1,37.41
2023,1,37.41
2023,1,36.6
2023,1,36.61
2023,1,42.56
2023,1,42.62
2023,1,43.34
2023,1,43.36
2023,1,36.29
2023,1,36.24
2023,1,32.85
2023,1,32.8
2023,1,30.88
2023,1,30.84
2023,1,30.7
2023,1,30.65
2023,1,32.59
2023,1,32.56
2023,1,42.49
2023,1,42.39
2023,1,79.44
2023,1,79.26
2023,1,80.14
2023,1,79.98
2023,1,68.78
2023,1,68.59
2023,1,55.06
2023,1,54.89
2023,1,46.98
2023,1,46.93
2023,1,35.57
2023,1,35.55
2023,1,31.26
2023,1,31.29
2023,1,41.58
2023,1,41.34
2023,1,35.72
2023,1,35.52
2023,1,35.97
2023,1,35.76
2023,1,35.71
2023,1,35.53
2023,1,40.54
2023,1,40.32
2023,1,58.12
2023,1,58.26
2023,1,118.35
2023,1,118.41
2023,1,150.92
2023,1,151.19
2023,1,127.38
2023,1,127.89
2023,1,102.14
2023,1,102.76
2023,1,84.72
2023,1,85.1
2023,1,68.01
2023,1,68.34
2023,1,52.61
2023,1,52.78
2023,1,46.23
2023,1,46.32
2023,1,49.06
2023,1,49.13
2023,1,50.01
2023,1,50.11
2023,1,66.25
2023,1,66.63
2023,1,113.58
2023,1,113.97
2023,1,148.17
2023,1,148.18
2023,1,114.33
2023,1,114.93
2023,1,94.83
2023,1,95.33
2023,1,65.42
2023,1,65.21
2023,1,50.37
2023,1,49.73
2023,1,44.66
2023,1,44.1
2023,2,38.42
2023,2,38.23
2023,2,36.5
2023,2,36.31
2023,2,36.64
2023,2,36.43
2023,2,37.17
2023,2,36.92
2023,2,39.09
2023,2,38.76
2023,2,45.16
2023,2,45.36
2023,2,85.93
2023,2,86.07
2023,2,98.77
2023,2,99.97
2023,2,95.0
2023,2,96.63
2023,2,104.51
2023,2,105.5
2023,2,103.4
2023,2,104.72
2023,2,91.62
2023,2,92.83
2023,2,68.28
2023,2,70.13
2023,2,60.0
2023,2,61.22
2023,2,62.19
2023,2,63.12
2023,2,63.08
2023,2,64.13
2023,2,93.63
2023,2,95.54
2023,2,112.9
2023,2,113.08
2023,2,121.92
2023,2,122.2
2023,2,94.32
2023,2,94.57
2023,2,84.54
2023,2,84.68
2023,2,59.05
2023,2,59.18
2023,2,36.04
2023,2,36.08
2023,2,32.74
2023,2,32.7
2023,2,31.25
2023,2,31.12
2023,2,30.81
2023,2,30.72
2023,2,30.74
2023,2,30.64
2023,2,31.33
2023,2,31.2
2023,2,31.04
2023,2,30.89
2023,2,45.79
2023,2,45.67
2023,2,64.07
2023,2,63.98
2023,2,70.88
2023,2,73.06
