ts_est,timestamp_utc,mw
2023-12-04 09:00:00,2023-12-04 14:00:00+00:00,44641.0
2023-12-04 10:00:00,2023-12-04 15:00:00+00:00,43853.0
2023-12-04 11:00:00,2023-12-04 16:00:00+00:00,44398.0
2023-12-04 12:00:00,2023-12-04 17:00:00+00:00,43706.0
2023-12-04 13:00:00,2023-12-04 18:00:00+00:00,43697.0
2023-12-04 14:00:00,2023-12-04 19:00:00+00:00,43796.0
2023-12-04 15:00:00,2023-12-04 20:00:00+00:00,44322.0
2023-12-04 16:00:00,2023-12-04 21:00:00+00:00,46400.0
2023-12-04 17:00:00,2023-12-04 22:00:00+00:00,48330.0
2023-12-04 18:00:00,2023-12-04 23:00:00+00:00,48132.0
2023-12-04 19:00:00,2023-12-05 00:00:00+00:00,47740.0
2023-12-04 20:00:00,2023-12-05 01:00:00+00:00,47619.0
2023-12-04 21:00:00,2023-12-05 02:00:00+00:00,46647.0
2023-12-04 22:00:00,2023-12-05 03:00:00+00:00,43401.0
2023-12-04 23:00:00,2023-12-05 04:00:00+00:00,41831.0
