day_of_week_num,day_type,system_energy_price_da
2,Weekday,29.12
2,Weekday,28.07
2,Weekday,28.07
2,Weekday,26.55
2,Weekday,26.55
2,Weekday,22.34
2,Weekday,22.34
2,Weekday,18.82
2,Weekday,18.82
2,Weekday,17.05
2,Weekday,17.05
3,Weekday,15.85
3,Weekday,15.85
3,Weekday,14.44
3,Weekday,14.44
3,Weekday,13.86
3,Weekday,13.86
3,Weekday,14.81
3,Weekday,14.81
3,Weekday,18.06
3,Weekday,18.06
3,Weekday,20.52
3,Weekday,20.52
3,Weekday,23.14
3,Weekday,23.14
3,Weekday,24.74
3,Weekday,24.74
3,Weekday,25.72
3,Weekday,25.72
3,Weekday,26.17
3,Weekday,26.17
3,Weekday,27.5
3,Weekday,27.5
3,Weekday,29.49
3,Weekday,29.49
3,Weekday,31.73
3,Weekday,31.73
3,Weekday,31.36
3,Weekday,31.36
3,Weekday,32.03
3,Weekday,32.03
3,Weekday,32.8
3,Weekday,32.8
3,Weekday,34.55
3,Weekday,34.55
3,Weekday,34.87
3,Weekday,34.87
3,Weekday,33.67
3,Weekday,33.67
3,Weekday,32.43
3,Weekday,32.43
3,Weekday,31.54
3,Weekday,31.54
3,Weekday,27.01
3,Weekday,27.01
3,Weekday,23.39
3,Weekday,23.39
3,Weekday,17.05
3,Weekday,17.05
4,Weekday,15.27
4,Weekday,15.27
4,Weekday,13.97
4,Weekday,13.97
4,Weekday,13.05
4,Weekday,13.05
4,Weekday,13.38
4,Weekday,13.38
4,Weekday,15.16
4,Weekday,15.16
4,Weekday,17.52
4,Weekday,17.52
4,Weekday,18.27
4,Weekday,18.27
4,Weekday,17.97
4,Weekday,17.97
4,Weekday,19.16
4,Weekday,19.16
4,Weekday,18.97
4,Weekday,18.97
4,Weekday,21.91
4,Weekday,21.91
4,Weekday,25.42
4,Weekday,25.42
4,Weekday,28.02
4,Weekday,28.02
4,Weekday,28.11
4,Weekday,28.11
4,Weekday,30.17
4,Weekday,30.17
4,Weekday,33.29
4,Weekday,33.29
4,Weekday,37.46
4,Weekday,37.46
4,Weekday,35.62
4,Weekday,35.62
4,Weekday,33.83
4,Weekday,33.83
4,Weekday,28.84
4,Weekday,28.84
4,Weekday,27.07
4,Weekday,27.07
4,Weekday,21.86
4,Weekday,21.86
4,Weekday,19.09
4,Weekday,19.09
4,Weekday,18.89
4,Weekday,18.89
5,Weekday,17.08
5,Weekday,17.08
5,Weekday,14.85
5,Weekday,14.85
5,Weekday,14.12
5,Weekday,14.12
5,Weekday,14.33
5,Weekday,14.33
5,Weekday,16.09
5,Weekday,16.09
5,Weekday,19.19
5,Weekday,19.19
5,Weekday,20.65
5,Weekday,20.65
5,Weekday,23.78
5,Weekday,23.78
5,Weekday,24.36
5,Weekday,24.36
5,Weekday,27.61
5,Weekday,27.61
5,Weekday,28.61
5,Weekday,28.61
5,Weekday,29.79
5,Weekday,29.79
5,Weekday,29.57
5,Weekday,29.57
5,Weekday,30.05
5,Weekday,30.05
5,Weekday,31.42
5,Weekday,31.42
5,Weekday,32.66
5,Weekday,32.66
5,Weekday,32.89
5,Weekday,32.89
5,Weekday,31.0
5,Weekday,31.0
5,Weekday,28.95
5,Weekday,28.95
5,Weekday,27.74
5,Weekday,27.74
5,Weekday,26.67
5,Weekday,26.67
5,Weekday,22.51
5,Weekday,22.51
5,Weekday,18.27
5,Weekday,18.27
5,Weekday,18.66
5,Weekday,18.66
6,Weekend,16.95
6,Weekend,16.95
6,Weekend,16.25
6,Weekend,16.25
6,Weekend,15.13
6,Weekend,15.13
6,Weekend,14.72
6,Weekend,14.72
6,Weekend,14.65
6,Weekend,14.65
6,Weekend,14.33
6,Weekend,14.33
6,Weekend,14.4
6,Weekend,14.4
6,Weekend,16.38
6,Weekend,16.38
6,Weekend,18.97
6,Weekend,18.97
6,Weekend,20.67
6,Weekend,20.67
6,Weekend,22.27
6,Weekend,22.27
6,Weekend,23.69
6,Weekend,23.69
6,Weekend,25.81
6,Weekend,25.81
6,Weekend,28.06
6,Weekend,28.06
6,Weekend,28.58
6,Weekend,28.58
6,Weekend,32.01
6,Weekend,32.01
6,Weekend,34.8
6,Weekend,34.8
6,Weekend,37.49
6,Weekend,37.49
6,Weekend,32.75
6,Weekend,32.75
6,Weekend,29.42
6,Weekend,29.42
6,Weekend,30.41
6,Weekend,30.41
6,Weekend,25.64
6,Weekend,25.64
6,Weekend,20.84
6,Weekend,20.84
6,Weekend,15.62
6,Weekend,15.62
0,Weekend,14.57
0,Weekend,14.57
0,Weekend,14.11
0,Weekend,14.11
0,Weekend,12.92
0,Weekend,12.92
0,Weekend,12.65
0,Weekend,12.65
0,Weekend,12.74
0,Weekend,12.74
0,Weekend,11.43
0,Weekend,11.43
0,Weekend,12.05
0,Weekend,12.05
0,Weekend,14.02
0,Weekend,14.02
0,Weekend,16.66
0,Weekend,16.66
0,Weekend,17.18
0,Weekend,17.18
0,Weekend,18.89
0,Weekend,18.89
0,Weekend,22.54
0,Weekend,22.54
0,Weekend,25.63
0,Weekend,25.63
0,Weekend,28.11
0,Weekend,28.11
0,Weekend,30.39
0,Weekend,30.39
0,Weekend,38.26
0,Weekend,38.26
0,Weekend,41.07
0,Weekend,41.07
0,Weekend,41.19
0,Weekend,41.19
0,Weekend,35.99
0,Weekend,35.99
0,Weekend,30.6
0,Weekend,30.6
0,Weekend,31.2
0,Weekend,31.2
0,Weekend,25.05
0,Weekend,25.05
0,Weekend,20.37
0,Weekend,20.37
0,Weekend,16.36
0,Weekend,16.36
1,Weekday,14.78
1,Weekday,14.78
1,Weekday,14.21
1,Weekday,14.21
1,Weekday,13.12
1,Weekday,13.12
1,Weekday,13.25
1,Weekday,13.25
1,Weekday,14.2
1,Weekday,14.2
1,Weekday,15.66
1,Weekday,15.66
1,Weekday,18.05
1,Weekday,18.05
1,Weekday,20.6
1,Weekday,20.6
1,Weekday,24.45
1,Weekday,24.45
1,Weekday,25.4
1,Weekday,25.4
1,Weekday,28.28
1,Weekday,28.28
1,Weekday,32.76
1,Weekday,32.76
1,Weekday,37.54
1,Weekday,37.54
1,Weekday,40.13
1,Weekday,40.13
1,Weekday,44.28
1,Weekday,44.28
1,Weekday,53.3
1,Weekday,53.3
1,Weekday,52.5
1,Weekday,52.5
1,Weekday,46.34
1,Weekday,46.34
1,Weekday,38.41
1,Weekday,38.41
1,Weekday,33.16
1,Weekday,33.16
1,Weekday,30.94
1,Weekday,30.94
1,Weekday,25.12
1,Weekday,25.12
1,Weekday,22.39
1,Weekday,22.39
1,Weekday,16.62
1,Weekday,16.62
2,Weekday,15.67
2,Weekday,15.67
2,Weekday,14.56
2,Weekday,14.56
2,Weekday,13.13
2,Weekday,13.13
2,Weekday,13.07
2,Weekday,13.07
2,Weekday,15.41
2,Weekday,15.41
2,Weekday,17.55
2,Weekday,17.55
2,Weekday,19.49
2,Weekday,19.49
2,Weekday,22.9
2,Weekday,22.9
2,Weekday,25.78
2,Weekday,25.78
2,Weekday,26.93
2,Weekday,26.93
2,Weekday,27.15
2,Weekday,27.15
2,Weekday,28.5
2,Weekday,28.5
2,Weekday,31.77
2,Weekday,31.77
2,Weekday,32.84
2,Weekday,32.84
2,Weekday,35.41
2,Weekday,35.41
2,Weekday,40.61
2,Weekday,40.61
2,Weekday,42.02
2,Weekday,42.02
2,Weekday,36.85
2,Weekday,36.85
2,Weekday,33.06
2,Weekday,33.06
2,Weekday,29.63
2,Weekday,29.63
2,Weekday,28.67
2,Weekday,28.67
2,Weekday,23.35
2,Weekday,23.35
2,Weekday,18.69
2,Weekday,18.69
2,Weekday,18.06
2,Weekday,18.06
3,Weekday,15.92
3,Weekday,15.92
3,Weekday,14.54
3,Weekday,14.54
3,Weekday,13.82
3,Weekday,13.82
3,Weekday,14.13
3,Weekday,14.13
3,Weekday,15.69
3,Weekday,15.69
3,Weekday,19.31
3,Weekday,19.31
3,Weekday,21.2
3,Weekday,21.2
3,Weekday,23.38
3,Weekday,23.38
3,Weekday,24.93
3,Weekday,24.93
3,Weekday,27.68
3,Weekday,27.68
3,Weekday,28.65
3,Weekday,28.65
3,Weekday,29.92
3,Weekday,29.92
3,Weekday,31.65
3,Weekday,31.65
3,Weekday,33.31
3,Weekday,33.31
3,Weekday,33.65
3,Weekday,33.65
