timestamp,price,year,month,day,hour
2023-01-09 05:00:00,21.89,2023,1,9,5
2023-01-09 06:00:00,26.85,2023,1,9,6
2023-01-09 07:00:00,29.19,2023,1,9,7
2023-01-09 08:00:00,23.87,2023,1,9,8
2023-01-09 09:00:00,20.19,2023,1,9,9
2023-01-09 10:00:00,19.3,2023,1,9,10
2023-01-09 11:00:00,19.42,2023,1,9,11
2023-01-09 12:00:00,19.91,2023,1,9,12
2023-01-09 13:00:00,20.28,2023,1,9,13
2023-01-09 14:00:00,20.76,2023,1,9,14
2023-01-09 15:00:00,21.72,2023,1,9,15
2023-01-09 16:00:00,25.26,2023,1,9,16
2023-01-09 17:00:00,71.07,2023,1,9,17
2023-01-09 18:00:00,48.24,2023,1,9,18
2023-01-09 19:00:00,33.4,2023,1,9,19
2023-01-09 20:00:00,30.23,2023,1,9,20
2023-01-09 21:00:00,27.82,2023,1,9,21
2023-01-09 22:00:00,23.08,2023,1,9,22
2023-01-09 23:00:00,22.49,2023,1,9,23
2023-01-10 00:00:00,18.98,2023,1,10,0
2023-01-10 01:00:00,15.37,2023,1,10,1
2023-01-10 02:00:00,13.07,2023,1,10,2
2023-01-10 03:00:00,12.35,2023,1,10,3
2023-01-10 04:00:00,14.02,2023,1,10,4
2023-01-10 05:00:00,17.38,2023,1,10,5
2023-01-10 06:00:00,28.93,2023,1,10,6
2023-01-10 07:00:00,29.29,2023,1,10,7
2023-01-10 08:00:00,23.96,2023,1,10,8
2023-01-10 09:00:00,20.61,2023,1,10,9
2023-01-10 10:00:00,19.65,2023,1,10,10
2023-01-10 11:00:00,19.62,2023,1,10,11
2023-01-10 12:00:00,19.88,2023,1,10,12
2023-01-10 13:00:00,19.24,2023,1,10,13
2023-01-10 14:00:00,21.44,2023,1,10,14
2023-01-10 15:00:00,22.42,2023,1,10,15
2023-01-10 16:00:00,26.04,2023,1,10,16
2023-01-10 17:00:00,54.99,2023,1,10,17
2023-01-10 18:00:00,33.61,2023,1,10,18
2023-01-10 19:00:00,22.47,2023,1,10,19
2023-01-10 20:00:00,20.28,2023,1,10,20
2023-01-10 21:00:00,17.95,2023,1,10,21
2023-01-10 22:00:00,20.05,2023,1,10,22
2023-01-10 23:00:00,16.33,2023,1,10,23
2023-01-11 00:00:00,10.69,2023,1,11,0
2023-01-11 01:00:00,8.09,2023,1,11,1
2023-01-11 02:00:00,7.79,2023,1,11,2
2023-01-11 03:00:00,7.77,2023,1,11,3
2023-01-11 04:00:00,10.53,2023,1,11,4
2023-01-11 05:00:00,14.32,2023,1,11,5
2023-01-11 06:00:00,28.55,2023,1,11,6
2023-01-11 07:00:00,28.26,2023,1,11,7
2023-01-11 08:00:00,21.52,2023,1,11,8
2023-01-11 09:00:00,18.67,2023,1,11,9
2023-01-11 10:00:00,19.74,2023,1,11,10
2023-01-11 11:00:00,20.78,2023,1,11,11
2023-01-11 12:00:00,21.1,2023,1,11,12
2023-01-11 13:00:00,22.28,2023,1,11,13
2023-01-11 14:00:00,22.75,2023,1,11,14
2023-01-11 15:00:00,22.88,2023,1,11,15
2023-01-11 16:00:00,26.25,2023,1,11,16
2023-01-11 17:00:00,48.57,2023,1,11,17
2023-01-11 18:00:00,37.12,2023,1,11,18
2023-01-11 19:00:00,25.05,2023,1,11,19
2023-01-11 20:00:00,21.04,2023,1,11,20
2023-01-11 21:00:00,19.76,2023,1,11,21
