timestamp,total_load_mw,hour_of_day,day_of_week,month
2024-12-08 12:00:00,49817.789895,12,0,12
2024-12-08 13:00:00,49426.361489999996,13,0,12
2024-12-08 14:00:00,48709.455046999996,14,0,12
2024-12-08 15:00:00,47828.362001999994,15,0,12
2024-12-08 16:00:00,47395.20708899999,16,0,12
2024-12-08 17:00:00,47701.933812,17,0,12
2024-12-08 18:00:00,49246.862759999996,18,0,12
2024-12-08 19:00:00,50432.701623,19,0,12
2024-12-08 20:00:00,50254.393364999996,20,0,12
2024-12-08 21:00:00,49729.209732,21,0,12
2024-12-08 22:00:00,48617.70092999999,22,0,12
2024-12-08 23:00:00,46693.494618,23,0,12
2024-12-09 00:00:00,44521.581399,0,1,12
2024-12-09 01:00:00,43009.830957000006,1,1,12
2024-12-09 02:00:00,42071.117848999995,2,1,12
2024-12-09 03:00:00,41641.303144,3,1,12
2024-12-09 04:00:00,41570.229802,4,1,12
2024-12-09 05:00:00,42526.539365,5,1,12
2024-12-09 06:00:00,44915.310626,6,1,12
2024-12-09 07:00:00,48376.024343000005,7,1,12
2024-12-09 08:00:00,49836.35143400001,8,1,12
2024-12-09 09:00:00,49454.41738,9,1,12
2024-12-09 10:00:00,48787.856197,10,1,12
2024-12-09 11:00:00,47990.259181999994,11,1,12
2024-12-09 12:00:00,47564.162669,12,1,12
2024-12-09 13:00:00,47417.867122999996,13,1,12
2024-12-09 14:00:00,47768.400316,14,1,12
2024-12-09 15:00:00,48048.52297600001,15,1,12
2024-12-09 16:00:00,48633.19842,16,1,12
2024-12-09 17:00:00,49162.960634999996,17,1,12
2024-12-09 18:00:00,50019.00872499999,18,1,12
2024-12-09 19:00:00,50578.947960000005,19,1,12
2024-12-09 20:00:00,50168.645178,20,1,12
2024-12-09 21:00:00,49442.099441000006,21,1,12
2024-12-09 22:00:00,48247.176427000006,22,1,12
2024-12-09 23:00:00,46408.317715000005,23,1,12
2024-12-10 00:00:00,44234.741151,0,2,12
2024-12-10 01:00:00,42579.433641999996,1,2,12
2024-12-10 02:00:00,41605.622411000004,2,2,12
2024-12-10 03:00:00,41333.645015,3,2,12
2024-12-10 04:00:00,41601.805313,4,2,12
2024-12-10 05:00:00,42636.294871,5,2,12
2024-12-10 06:00:00,44966.969400999995,6,2,12
2024-12-10 07:00:00,48646.174277000006,7,2,12
2024-12-10 08:00:00,50057.95708,8,2,12
2024-12-10 09:00:00,49995.516206,9,2,12
2024-12-10 10:00:00,49931.464617000005,10,2,12
2024-12-10 11:00:00,49850.973679,11,2,12
2024-12-10 12:00:00,49470.29226,12,2,12
2024-12-10 13:00:00,49183.302840000004,13,2,12
2024-12-10 14:00:00,49152.212263,14,2,12
2024-12-10 15:00:00,48966.393023,15,2,12
2024-12-10 16:00:00,49283.162706,16,2,12
2024-12-10 17:00:00,50409.513838,17,2,12
2024-12-10 18:00:00,53068.393941,18,2,12
2024-12-10 19:00:00,55049.708255,19,2,12
2024-12-10 20:00:00,55354.925232999994,20,2,12
2024-12-10 21:00:00,55383.36086,21,2,12
2024-12-10 22:00:00,54500.721285,22,2,12
2024-12-10 23:00:00,52708.080266,23,2,12
