year,month,hour,avg_lmp,data_points
2021,4,12,18.78225000000001,120
2021,4,13,21.53491666666666,120
2021,4,14,37.85358333333332,120
2021,4,15,73.97266666666664,120
2021,4,16,75.43158333333332,120
2021,4,17,77.72441666666666,120
2021,4,18,54.06891666666665,120
2021,4,19,144.03416666666666,120
2021,4,20,120.57241666666665,120
2021,4,21,29.776749999999993,120
2021,4,22,18.67608333333333,120
2021,4,23,15.471249999999998,120
2021,5,0,15.421935483870968,124
2021,5,1,13.676935483870968,124
2021,5,2,13.75427419354839,124
2021,5,3,13.832096774193543,124
2021,5,4,16.521370967741934,124
2021,5,5,16.260564516129033,124
2021,5,6,20.85241935483871,124
2021,5,7,23.13427419354839,124
2021,5,8,22.356048387096767,124
2021,5,9,19.22798387096774,124
2021,5,10,14.16443548387097,124
2021,5,11,16.09903225806452,124
2021,5,12,16.31854838709678,124
2021,5,13,17.900967741935485,124
2021,5,14,22.037338709677428,124
2021,5,15,23.3774193548387,124
2021,5,16,31.384435483870973,124
2021,5,17,20.492419354838702,124
2021,5,18,15.745725806451615,124
2021,5,19,25.531370967741935,124
2021,5,20,42.72451612903228,124
2021,5,21,23.283951612903223,124
2021,5,22,23.82129032258065,124
2021,5,23,15.824919354838713,124
2021,6,0,21.091416666666664,120
2021,6,1,16.85758333333333,120
2021,6,2,15.887249999999998,120
2021,6,3,16.68483333333333,120
2021,6,4,17.138999999999992,120
2021,6,5,18.943,120
2021,6,6,19.626749999999994,120
2021,6,7,21.155666666666658,120
2021,6,8,19.883833333333314,120
2021,6,9,19.689999999999994,120
2021,6,10,22.378833333333336,120
2021,6,11,26.37683333333333,120
2021,6,12,40.36816666666667,120
2021,6,13,55.03191666666668,120
2021,6,14,96.65558333333328,120
2021,6,15,110.89949999999995,120
2021,6,16,91.70358333333334,120
2021,6,17,66.75425,120
2021,6,18,33.19141666666668,120
2021,6,19,37.7665,120
2021,6,20,30.049833333333332,120
2021,6,21,28.28491666666666,120
2021,6,22,25.54941666666666,120
2021,6,23,21.119833333333343,120
2021,7,0,26.15225806451613,124
2021,7,1,24.368629032258074,124
2021,7,2,22.207661290322577,124
2021,7,3,21.554516129032258,124
2021,7,4,22.349354838709683,124
2021,7,5,24.274354838709677,124
2021,7,6,26.226209677419334,124
2021,7,7,26.61370967741936,124
2021,7,8,25.891370967741935,124
2021,7,9,25.359435483870943,124
2021,7,10,28.161532258064522,124
2021,7,11,31.914112903225814,124
2021,7,12,37.20048387096774,124
2021,7,13,42.75000000000001,124
2021,7,14,65.01008064516127,124
2021,7,15,62.082822580645136,124
2021,7,16,78.83943548387097,124
2021,7,17,57.38870967741937,124
2021,7,18,44.39927419354839,124
2021,7,19,41.80879032258064,124
2021,7,20,49.15088709677418,124
2021,7,21,34.72572580645163,124
2021,7,22,34.995483870967725,124
2021,7,23,28.029758064516123,124
2021,8,0,23.746854838709684,124
2021,8,1,22.326370967741934,124
2021,8,2,20.350483870967746,124
2021,8,3,20.877983870967743,124
2021,8,4,22.034193548387094,124
2021,8,5,24.67362903225807,124
2021,8,6,27.886774193548387,124
2021,8,7,28.225806451612907,124
2021,8,8,28.36298387096774,124
2021,8,9,23.74701612903225,124
2021,8,10,26.324516129032258,124
2021,8,11,33.51733870967742,124
2021,8,12,39.6916935483871,124
2021,8,13,42.32395161290323,124
2021,8,14,47.957661290322584,124
2021,8,15,63.150080645161275,124
2021,8,16,51.124032258064524,124
2021,8,17,41.487338709677424,124
2021,8,18,41.17717741935485,124
2021,8,19,44.674112903225776,124
2021,8,20,46.32354838709678,124
2021,8,21,35.646048387096776,124
2021,8,22,30.322903225806453,124
2021,8,23,25.65766129032258,124
2021,9,0,31.5245,120
2021,9,1,27.05591666666667,120
2021,9,2,24.91075,120
2021,9,3,24.234083333333334,120
2021,9,4,24.843166666666665,120
2021,9,5,27.93741666666667,120
