hour_of_day,day_of_week,avg_load_mw,std_load_mw,min_load_mw,max_load_mw,count
5,2,4646.716694524576,682.0269611461134,3859.0093,6634.0566,624
6,2,5060.383363034193,681.3944326686913,4135.91,7174.0176,624
7,2,5515.0507729700885,681.803889530145,4625.221,7692.293,624
8,2,5825.69042232906,720.4294084167486,4926.053,8115.969,624
9,2,6026.201190411323,777.6727174728993,5137.5776,8495.582,624
10,2,6118.527543896903,844.9161093149695,5217.123,8822.46,624
11,2,6193.391595352562,907.8217150904068,5235.7983,9121.361,624
12,2,6252.022293883549,949.9107503531881,5291.126,9430.7,624
13,2,6285.983544631408,972.3009254524876,5313.249,9634.724,624
14,2,6317.116184188038,1015.6177049750232,5327.35435,9825.824,624
15,2,6360.544775721163,1026.5111301312388,5280.124,9916.923,624
16,2,6421.9750908386695,1004.6793707185527,5307.838,9924.965,624
17,2,6466.143645673075,976.6662497227255,5374.516,9894.834,624
18,2,6340.458323437498,925.7544646140232,5308.5645,9834.625,624
19,2,6194.125988461533,880.1627669165699,5213.3784,9411.732,624
20,2,6031.192906623939,859.7622317102272,5128.0317,9369.929,624
21,2,5840.926217387819,866.9534279444415,4911.9556,9093.732,624
22,2,5555.952170753206,856.7692965692037,4608.4004,8755.369,624
23,2,5221.73360547543,842.6123142854883,4293.6157,8301.266,624
0,3,4916.4017864316265,806.7614078526465,4040.989,7812.5073,624
1,3,4698.0324524572625,767.5249600717583,3850.0833,7434.6206,624
2,3,4550.796431543809,728.3858624800515,3742.9607,7136.339,624
3,3,4467.234466319451,700.1440020282403,3689.776,6917.559,624
4,3,4470.272042841882,684.4722238555017,3682.7292,6845.253,624
5,3,4642.092421207263,683.9206508250915,3751.7817,7104.628,624
6,3,5062.112955101493,695.1391446963581,4044.7495,7566.884,624
7,3,5520.296410283118,708.0462416405214,4566.006,8107.5557,624
8,3,5836.128701388888,751.4002715903925,4931.7783,8622.927,624
9,3,6030.895782184825,807.7874682759046,5141.296,8947.971,624
10,3,6116.2043963675305,869.5989648440107,5233.7705,9245.775,624
11,3,6183.578315304484,934.4727619224601,5281.7554,9501.027,624
12,3,6243.520221020301,995.0784915042368,5306.531,9747.836,624
13,3,6279.379346874996,1042.3099480090198,5277.5396,9966.274,624
14,3,6311.779659188039,1088.8589859992182,5239.039,10181.568,624
15,3,6374.9574936431645,1128.0848942129596,5279.957,10330.348,624
16,3,6471.65058632479,1151.2840680283655,5318.472,10398.211,624
17,3,6521.119142708333,1129.6814505907591,5367.866,10429.561,624
18,3,6382.365185603631,1059.6356672986806,5297.667,10283.033,624
19,3,6226.122413995728,993.6956809471077,5256.1187,9901.881,624
20,3,6061.242787339746,961.3573955185586,5178.3,9697.297,624
21,3,5867.142343723295,961.1685669547605,4931.504,9466.626,624
22,3,5573.701167467951,940.0518282478057,4639.8374,9105.262,624
23,3,nan,nan,4311.073,nan,624
0,4,4924.283343830122,856.0429635768373,4062.3551,8101.9336,624
1,4,4700.013139503203,814.1208770629621,3904.7227,7682.674,624
2,4,4551.800055128208,777.0038683022849,3799.505,7352.4385,624
3,4,nan,nan,3747.5303,nan,624
4,4,nan,nan,3739.4355,nan,624
5,4,nan,nan,3812.7617,nan,624
6,4,nan,nan,4072.658,nan,624
7,4,5505.484387927351,784.0765832413123,4351.084,8301.631,624
8,4,5827.385303846151,838.8489356193879,4536.095,8821.773,624
9,4,nan,nan,4671.4717,nan,624
10,4,6143.8161263888815,983.2078745533545,4793.0864,9580.561,624
11,4,nan,nan,4854.0835,nan,624
12,4,6285.456573290599,1101.3598654676164,4889.1143,10028.703,624
13,4,6319.604847329062,1133.2465867819662,4916.1064,10166.984,624
14,4,6341.334258493592,1162.6209716641654,4929.4624,10179.514,624
15,4,6385.486883840817,1184.0897568039982,4942.3887,10354.352,624
16,4,6454.6013804887825,1183.1914106218294,4968.036,10343.121,624
17,4,6484.561904380346,1156.113074218597,5034.209,10353.449,624
18,4,6344.242697943372,1096.2431826194234,4897.927,10103.467,624
19,4,6191.177808279914,1046.7358290282118,4809.769,9728.4375,624
20,4,6023.155151682692,1009.9482665275319,4726.252,9575.896,624
21,4,5833.525581944444,991.4124971149357,4641.7666,9286.036499999998,624
22,4,5554.874236137819,948.5111942138756,4552.141,8797.781,624
23,4,5232.039514022434,909.6370138775231,4317.461,8237.56,624
0,5,4940.103194257483,866.4533872828732,4080.0173,7833.748,624
1,5,4722.339615518165,822.6087267328152,3905.5193,7415.3184,624
2,5,4571.499728632486,782.6323194718751,3820.772,7081.681,624
3,5,4481.69419735577,749.8973796042258,3760.764,6861.8115,624
4,5,4477.002200801284,726.9541338097855,3789.1562,6733.249,624
5,5,4636.998873958336,724.1576973788146,3848.455,6898.171,624
6,5,5039.2649498531,738.9862792191204,4104.2236,7435.526,624
7,5,5467.128619123928,756.7801927566514,4483.7314,7983.001,624
8,5,5774.876133547008,781.7396706839598,4796.8535,8378.313,624
9,5,5989.192495432693,828.8186299428799,4964.025,8782.358333333334,624
10,5,6099.619258066232,894.3201078707775,5046.666,8985.262,624
11,5,6182.854497035253,955.0648928619742,5067.1987,9366.045,624
12,5,6245.944493269236,1024.729015834399,5109.9526,9720.222,624
13,5,6285.748014062504,1081.7117718857494,5136.5703,9983.279,624
14,5,6300.499488087606,1111.0523886133687,5186.822,10038.004,624
15,5,6323.54408846153,1108.0288220830018,5195.0107,9729.555,624
16,5,6370.416465785261,1081.1784433395417,5263.5186,9617.211,624
17,5,6394.679268482904,1024.1736063916342,5280.718,9617.472,624
18,5,6258.540911378208,964.218719984304,5200.783,9557.164,624
19,5,6101.689696955131,907.3115844492932,5143.326,9309.796,624
20,5,5936.532870512818,876.8739845617514,5066.242,8965.98,624
21,5,5764.740891399572,877.4537476718689,4885.615,8833.111,624
22,5,5520.294122222219,857.71725579003,4653.609,8609.301,624
23,5,5239.923344070516,827.6574415193461,4368.1777,8244.887,624
0,6,4973.639776842951,785.3601097915017,4123.8354,7838.745,624
1,6,4768.39992833867,748.8079410854062,3965.2617,7343.6855,624
2,6,4618.92685144231,717.2233580630037,3853.216,7033.431,624
3,6,4513.917876201925,689.0841293602949,3789.5679,6786.6963,624
4,6,4465.825845245727,664.4341757195091,3764.8008,6576.0723,624
5,6,4497.712067307693,649.659171646568,3780.6064,6514.041,624
6,6,4622.689987219551,635.4776575947211,3851.2075,6664.5273,624
7,6,4817.172295699788,650.980175091023,4008.1943,6935.7915,624
8,6,5042.042916105771,681.352311128179,4175.3813,7234.334,624
9,6,5256.274857451921,735.1025908392774,4399.545,7548.3,624
10,6,5433.835386965805,796.9502146969538,4520.8076,7977.7444000000005,624
11,6,5552.9567156517105,854.0774392717823,4595.557,8260.5645,624
12,6,5623.686173717952,909.9487698743487,4638.034,8420.7445,624
13,6,5642.281276148506,952.4427324954341,4651.16,8558.2295,624
14,6,5647.6490688034155,983.9736105537785,4642.089,8595.236,624
15,6,5658.457308173089,973.2911899351882,4660.321,8720.59,624
16,6,5700.617424813032,954.1826776883395,4704.4785,8804.457,624
17,6,5745.707232451924,912.3393769027592,4748.094,8860.26,624
18,6,5747.505042227563,870.6620118590204,4826.4844,8845.356,624
19,6,5699.90064284188,831.1596494427216,4834.041,8735.169,624
20,6,5624.542452056631,804.7246960101919,4841.132,8163.6284,624
21,6,5526.275107905984,813.3328759879655,4729.324,8138.095,624
22,6,5358.167097142094,802.971882205196,4531.725,7842.744,624
23,6,5133.235737138265,777.929676995713,4330.3623,7453.4746,622
