month,hour_of_day,avg_loss_component,avg_total_lmp,avg_loss_percentage_of_lmp,observation_count
3,11,1.2166532258064506,26.897786738351243,4.825732807623713,372
3,12,1.1802027027027024,24.946500000000015,4.892408812639841,370
3,13,1.1058064516129034,22.604162186379913,4.935866035176554,372
3,14,1.0802643369175617,22.600573476702497,4.978069857718702,372
3,15,1.1445564516129034,23.25107526881718,5.051521306017686,372
3,16,1.3137813620071683,26.06275985663082,5.118411116578883,372
3,17,1.4444474393531,27.098463611859856,5.34145650218233,371
3,18,1.6583333333333323,29.809802867383485,5.595808404934873,372
3,19,1.7586962365591383,42.36370967741935,5.572866584404497,372
3,20,1.571908602150538,29.87572580645163,5.3765171264371645,372
3,21,1.4180107526881736,28.457652329749116,4.988257886221919,372
3,22,1.244086021505375,26.724959677419353,4.633980765477917,372
3,23,0.9936693548387094,23.83844086021505,4.1588970353738866,372
4,0,1.1655277777777766,22.802250000000004,5.176038943903168,360
4,1,1.0614722222222226,21.253268518518524,5.052158465526362,360
4,2,0.9713333333333332,20.01922222222223,4.944241754556398,360
4,3,0.9409722222222221,19.24155555555554,4.974858703815642,360
4,4,0.9310277777777799,19.739444444444448,4.798819058575701,360
4,5,1.0798101851851856,23.069231481481477,4.766390850241404,360
4,6,1.426722222222223,26.843118055555543,5.36756247792701,360
4,7,1.6769629629629628,28.202435185185223,5.994079792210429,360
4,8,1.5876111111111129,28.89975462962964,5.876365264350625,360
4,9,1.5112453703703692,25.921995370370386,5.851118831747403,360
4,10,1.5193009259259274,25.038509259259282,6.137776044454495,360
4,11,1.4516805555555548,24.038712962962972,6.075048536407126,360
4,12,1.4298055555555553,23.768402777777762,5.98471280381521,360
4,13,1.4208888888888893,25.100518518518513,5.788628014916018,360
4,14,1.4740601851851853,24.82919907407409,6.030779981836259,360
4,15,1.4337361111111104,27.03387962962962,5.80036830783667,360
4,16,1.5121388888888885,25.533291666666642,6.003580512721415,360
4,17,1.6628472222222228,49.17969444444444,6.0938061585964824,360
4,18,1.8429444444444427,29.933069444444456,6.259410619929559,360
4,19,4.68613425925926,64.18077777777775,6.530454111271063,360
4,20,3.2726944444444497,46.669527777777766,6.468477154190016,360
4,21,1.8505972222222238,31.22841666666665,5.97491118359433,360
4,22,1.4522083333333349,25.963277777777783,5.682981229963364,360
4,23,1.2322499999999998,23.167222222222236,5.369476814792115,360
5,0,1.3459408602150544,23.77010752688172,5.654815545941448,372
5,1,1.1300448028673828,22.277401433691782,5.079475908809301,372
5,2,0.9465053763440855,19.81990143369176,4.8474962480955535,372
5,3,0.9262365591397839,19.480062724014324,4.803882729333323,372
5,4,0.911514336917563,19.71087813620073,4.65635558694201,372
5,5,1.0500537634408604,21.973709677419343,4.759259493506666,372
5,6,1.320999103942652,24.072482078853042,5.4300222953752035,372
5,7,1.4711111111111117,28.827168458781347,5.870810455632142,372
5,8,1.5083915770609329,34.25861111111112,5.892782490625976,372
5,9,1.5078718637992834,27.791129032258073,6.084255621948386,372
5,10,1.6087342342342348,32.34547747747745,6.387870788663043,370
5,11,1.698194444444444,26.46202956989248,6.69413988107064,372
5,12,1.7428494623655912,31.44782258064514,6.68380953178178,372
5,13,1.9072132616487447,30.64521057347669,6.946832567488159,372
5,14,1.9308198924731192,31.051142473118304,7.119860777372809,372
5,15,2.147284946236559,32.987217741935474,7.3246496813697055,372
5,16,2.3065770609318963,34.43831541218638,7.425252739677996,372
5,17,2.8908602150537632,41.288270609318985,7.755056710213645,372
5,18,2.726872759856633,34.624381720430115,7.692904945389003,372
5,19,2.609784946236558,35.42674731182794,7.3106248396499875,372
5,20,2.424059139784945,34.03926523297492,7.110545441293568,372
5,21,2.1351971326164896,31.31590501792115,6.808089889752283,372
5,22,1.7160707885304676,27.92974910394266,6.487825831123824,372
5,23,1.4261245519713248,24.632930107526903,5.902946840744285,372
6,0,1.682907407407407,27.220189814814827,6.243391937134129,360
6,1,1.4478703703703701,24.68786111111112,5.975161483389911,360
6,2,1.2659052924791085,21.933816155988847,5.75694378442748,359
6,3,1.1356111111111107,20.5071111111111,5.541772887123547,360
6,4,1.1147168059424324,20.722311977715876,5.47950282972849,359
6,5,1.163027777777779,21.621847222222225,5.4032053650868574,360
6,6,1.357833333333334,23.13763888888889,5.8324308999961225,360
6,7,1.5939583333333338,26.34377314814814,6.23419606315755,360
6,8,1.7595555555555547,26.271083333333312,6.65808061639223,360
6,9,1.9013055555555545,29.1892685185185,6.849381433428364,360
6,10,2.139823091247673,30.157378957169488,7.281370083492206,358
6,11,2.388875,33.539009259259245,7.451949674264839,360
6,12,2.519787037037034,35.16139351851849,7.628251455779958,360
6,13,2.66438888888889,38.610888888888866,7.638988273523526,360
6,14,2.7535740740740757,42.30188888888892,7.540583516395332,360
6,15,2.8424583333333344,40.91468055555555,7.77899646118628,360
6,16,2.901138888888888,42.241472222222214,7.736481462942792,360
6,17,3.390625,54.01272916666666,7.64538362911569,360
6,18,4.636231481481479,77.002625,7.523518745458087,360
6,19,2.864689814814816,43.640041666666676,7.239086100021433,360
6,20,2.4784120370370357,38.74030092592593,6.86946473254483,360
6,21,2.2943611111111113,38.18997222222222,6.62539982697593,360
6,22,2.147222222222221,32.301374999999986,6.814802740302917,360
6,23,1.9224999999999992,29.49219444444445,6.591848097728195,360
7,0,2.1079301075268804,33.81457885304662,6.888830782787036,372
7,1,1.9688172043010759,29.10326612903228,6.915863072308242,372
7,2,1.7491263440860225,26.842284946236568,6.670922062307919,372
7,3,1.6441397849462354,25.485026881720426,6.422321253408491,372
7,4,1.5684408602150521,24.792571684587802,6.295707183814212,372
7,5,1.6518010752688175,25.604139784946234,6.423563098093885,372
7,6,1.8768189964157713,28.05003584229392,6.66283805967536,372
7,7,2.120994623655914,31.3576612903226,7.039349111810116,372
7,8,2.321317204301076,30.965197132616517,7.475060484858329,372
7,9,2.4480510752688183,32.19439516129033,7.760876188101589,372
7,10,2.7120609318996416,41.486487455197164,8.041917923824405,372
7,11,3.055985663082434,37.15164426523295,8.261655340408488,372
7,12,3.242732974910395,39.864171146953396,8.23748303805992,372
7,13,3.6014964157706113,42.82159946236561,8.413741843324294,372
7,14,3.8885842293906845,45.42026433691756,8.597215335217365,372
7,15,5.069475806451618,58.92237903225804,8.509295424740293,372
7,16,5.486173835125449,61.7462231182796,8.660945330252147,372
7,17,9.209726702508954,104.14793010752693,8.658756089562454,372
7,18,7.898221326164874,99.32297491039431,7.983361611166773,372
7,19,4.010828853046588,63.352562724014334,7.034686486619687,372
7,20,3.573001792114696,54.32793010752684,6.924013353717685,372
7,21,3.071097670250895,45.80434587813625,6.9701523681370094,372
7,22,2.6761827956989257,38.07940860215054,7.158409726752227,372
7,23,2.4401792114695353,34.71646953405018,7.1721117991502785,372
8,0,1.7457777777777796,31.74466666666668,5.6643041001029735,360
8,1,1.4963472222222207,28.222319444444423,5.353857359806807,360
8,2,1.3100277777777782,26.400499999999976,4.940396769832634,360
8,3,1.180388888888889,24.362416666666668,4.8615136132110575,360
8,4,1.1362314814814822,24.00603703703703,4.726140444509787,360
8,5,1.2622499999999994,26.636930555555562,4.694618220898345,360
8,6,1.4859999999999984,29.009402777777762,5.060845123179927,360
8,7,1.711092592592592,29.243486111111114,5.756221858568838,360
8,8,1.8723194444444453,30.216680555555577,6.090101971294415,360
8,9,2.00177777777778,30.485611111111147,6.461301223006324,360
8,10,2.188694444444444,32.43155555555553,6.652545850187001,360
8,11,2.5446388888888913,35.93154166666665,7.0531960413263635,360
8,12,2.7078749999999996,37.17778703703702,7.2554389895388205,360
8,13,2.97525,39.96806018518515,7.4430163288027,360
8,14,3.021263888888888,39.53912500000003,7.607588183004576,360
8,15,3.3432731481481484,45.006717592592594,7.631787094392913,360
8,16,3.9312638888888873,51.23613888888883,7.697641341025793,360
8,17,4.762032407407408,62.36169907407405,7.6792870467063485,360
8,18,3.8160925925925926,52.970847222222226,7.217707908159387,360
8,19,3.220217592592594,48.066328703703704,6.78689986207086,360
8,20,2.8338611111111116,43.180944444444435,6.636863472183485,360
8,21,2.486842592592591,38.76424537037041,6.508258469381158,360
8,22,2.138305555555555,33.54359259259258,6.405374608481203,360
8,23,1.9171944444444438,31.52012962962962,6.087162744908513,360
9,0,1.3203472222222221,28.557638888888913,4.596896315333847,360
9,1,1.1528518518518527,26.33044444444444,4.374046372679741,360
9,2,1.0499814814814825,25.486384259259275,4.1201982546932525,360
9,3,1.0038148148148147,24.968638888888922,4.002146897922269,360
9,4,0.9872870370370379,24.697009259259275,3.9808735943877775,360
9,5,1.0778425925925927,26.048111111111155,4.12877385367109,360
9,6,1.3130277777777783,29.000069444444453,4.4935083003489735,360
9,7,1.7218245125348173,37.66479108635098,5.23539486896007,359
9,8,1.6428101851851855,33.62687962962964,5.070116713502526,360
9,9,1.5470416666666664,29.94888888888888,5.232244130320695,360
9,10,1.5711064814814806,30.09918055555556,5.4563050784889775,360
9,11,1.6679702048417109,30.00378026070761,5.716196501081053,358
9,12,1.7690787037037041,32.188310185185166,5.765908584797367,360
9,13,1.9188055555555554,32.860555555555564,5.941350207264233,360
9,14,2.020541666666665,35.14408333333331,5.994424631907299,360
9,15,2.160671296296295,35.275708333333355,6.181243437771941,360
9,16,2.298921296296299,43.2776712962963,6.073369180784183,360
9,17,2.650263888888889,43.71997222222222,6.094175692351203,360
9,18,2.4635694444444427,42.04947222222219,5.873777923476546,360
9,19,2.318083333333332,41.36722222222223,5.6123039747785555,360
9,20,2.127944444444444,39.30691666666666,5.456713412966301,360
9,21,1.8911064814814802,35.07975000000002,5.4188900681034875,360
9,22,1.736430555555554,33.420217592592614,5.31394087241175,360
9,23,1.4923796296296292,29.81987499999997,4.992512776987945,360
10,0,1.2547849462365586,26.64147849462366,4.841962086600542,372
10,1,1.1789336917562727,25.72602150537636,4.656326001629178,372
10,2,1.083270609318997,24.72843189964157,4.4661636865849985,372
10,3,1.021370967741935,23.56350358422941,4.417120241559268,372
10,4,1.038763440860216,24.525268817204324,4.320992993299527,372
10,5,1.1518682795698922,26.877473118279575,4.4390319630580475,372
10,6,1.6749417562724016,36.85167562724014,4.746180837758953,372
10,7,2.156706989247312,44.22452956989244,5.053284414871893,372
10,8,1.9785528673835118,40.3941084229391,5.069042855377889,372
10,9,1.7052016129032261,31.736034946236554,5.542208544935023,372
10,10,1.671357526881722,29.219569892473125,5.886498870794718,372
10,11,1.6267741935483877,27.90224462365592,5.973818296225012,372
10,12,1.7113172043010731,28.918467741935522,6.082085956420406,372
10,13,1.7753181003584226,28.849816308243735,6.270072818891935,372
10,14,1.841066308243727,28.800044802867408,6.5025460548462055,372
10,15,2.0169220430107524,31.727513440860236,6.475967614225664,372
10,16,2.2638799283154123,35.712656810035845,6.318380061311586,372
10,17,2.608243727598566,44.44568100358423,5.9081546243310346,372
10,18,3.142150537634408,53.44152329749106,5.8350256415808115,372
10,19,2.498682795698927,44.58723118279568,5.618679744922727,372
10,20,2.1087186379928324,42.78492831541215,5.431570561455335,372
