date,hour,day_of_week,month,avg_load_mw,data_points
2020-01-12,4,0,1,4133.183333333333,12
2020-01-12,5,0,1,4155.136111111111,12
2020-01-12,6,0,1,4253.466666666667,12
2020-01-12,7,0,1,4409.116666666667,12
2020-01-12,8,0,1,4619.833333333334,12
2020-01-12,9,0,1,4814.516666666667,12
2020-01-12,10,0,1,4979.150000000001,12
2020-01-12,11,0,1,5061.975,12
2020-01-12,12,0,1,5122.533333333333,12
2020-01-12,13,0,1,5116.091666666666,12
2020-01-12,14,0,1,5117.2,12
2020-01-12,15,0,1,5137.1833333333325,12
2020-01-12,16,0,1,5209.608333333334,12
2020-01-12,17,0,1,5435.825,12
2020-01-12,18,0,1,5502.525000000001,12
2020-01-12,19,0,1,5449.8,12
2020-01-12,20,0,1,5360.933333333333,12
2020-01-12,21,0,1,5238.491666666667,12
2020-01-12,22,0,1,5003.325,12
2020-01-12,23,0,1,4703.458333333333,12
2020-01-13,0,1,1,4464.308333333333,12
2020-01-13,1,1,1,4304.758333333333,12
2020-01-13,2,1,1,4210.775000000001,12
2020-01-13,3,1,1,4190.2,12
2020-01-13,4,1,1,4236.608333333334,12
2020-01-13,5,1,1,4496.958333333333,12
2020-01-13,6,1,1,4998.674999999999,12
2020-01-13,7,1,1,5540.158333333334,12
2020-01-13,8,1,1,5851.0,12
2020-01-13,9,1,1,6087.533333333334,12
2020-01-13,10,1,1,6189.008333333332,12
2020-01-13,11,1,1,6240.633333333334,12
2020-01-13,12,1,1,6257.450000000001,12
2020-01-13,13,1,1,6250.591666666667,12
2020-01-13,14,1,1,6213.791666666667,12
2020-01-13,15,1,1,6235.583333333333,12
2020-01-13,16,1,1,6309.025000000001,12
2020-01-13,17,1,1,6419.7,12
2020-01-13,18,1,1,6277.674999999999,12
2020-01-13,19,1,1,6117.825,12
2020-01-13,20,1,1,5936.95,12
2020-01-13,21,1,1,5702.466666666667,12
2020-01-13,22,1,1,5379.616666666666,12
2020-01-13,23,1,1,5008.597222222223,12
2020-01-14,0,2,1,4704.241666666667,12
2020-01-14,1,2,1,4454.833333333333,12
2020-01-14,2,2,1,4362.575,12
2020-01-14,3,2,1,4311.341666666667,12
2020-01-14,4,2,1,4336.625000000001,12
2020-01-14,5,2,1,4568.941666666667,12
2020-01-14,6,2,1,5080.250000000001,12
2020-01-14,7,2,1,5630.758333333334,12
2020-01-14,8,2,1,5949.716666666667,12
2020-01-14,9,2,1,6136.966666666667,12
2020-01-14,10,2,1,6188.216666666666,12
2020-01-14,11,2,1,6215.549999999999,12
2020-01-14,12,2,1,6235.900000000001,12
2020-01-14,13,2,1,6236.641666666667,12
2020-01-14,14,2,1,6226.049999999999,12
2020-01-14,15,2,1,6281.283333333334,12
2020-01-14,16,2,1,6371.274999999999,12
2020-01-14,17,2,1,6497.675,12
2020-01-14,18,2,1,6353.5,12
2020-01-14,19,2,1,6190.625000000001,12
2020-01-14,20,2,1,5988.691666666667,12
2020-01-14,21,2,1,5736.883333333332,12
2020-01-14,22,2,1,5397.533333333334,12
2020-01-14,23,2,1,5026.195833333333,12
2020-01-15,0,3,1,4697.5361111111115,12
2020-01-15,1,3,1,4482.15,12
2020-01-15,2,3,1,4366.558333333333,12
2020-01-15,3,3,1,4304.883333333334,12
2020-01-15,4,3,1,4327.3,12
2020-01-15,5,3,1,4545.483333333333,12
2020-01-15,6,3,1,5056.95,12
2020-01-15,7,3,1,5595.1083333333345,12
2020-01-15,8,3,1,5889.241666666666,12
2020-01-15,9,3,1,6021.583333333332,12
2020-01-15,10,3,1,6033.825,12
2020-01-15,11,3,1,6026.333333333335,12
2020-01-15,12,3,1,6018.716666666667,12
2020-01-15,13,3,1,6008.25,12
2020-01-15,14,3,1,5991.816666666667,12
2020-01-15,15,3,1,6026.441666666667,12
2020-01-15,16,3,1,6123.266666666667,12
2020-01-15,17,3,1,6317.241666666666,12
2020-01-15,18,3,1,6239.233333333334,12
2020-01-15,19,3,1,6092.391666666666,12
2020-01-15,20,3,1,5908.375000000001,12
2020-01-15,21,3,1,5662.733333333334,12
2020-01-15,22,3,1,5343.966666666666,12
2020-01-15,23,3,1,4990.766666666667,12
2020-01-16,0,4,1,4668.916666666666,12
2020-01-16,1,4,1,4458.349999999999,12
2020-01-16,2,4,1,4319.533333333333,12
2020-01-16,3,4,1,4260.758333333332,12
2020-01-16,4,4,1,4285.750000000001,12
2020-01-16,5,4,1,4502.633333333333,12
2020-01-16,6,4,1,5013.150000000001,12
2020-01-16,7,4,1,5552.916666666667,12
2020-01-16,8,4,1,5840.2249999999985,12
2020-01-16,9,4,1,6042.975000000001,12
2020-01-16,10,4,1,6096.650000000001,12
2020-01-16,11,4,1,6156.991666666666,12
2020-01-16,12,4,1,6147.724999999999,12
2020-01-16,13,4,1,6177.916666666667,12
2020-01-16,14,4,1,6196.916666666667,12
2020-01-16,15,4,1,6229.283333333334,12
2020-01-16,16,4,1,6337.7041666666655,12
2020-01-16,17,4,1,6531.2375,12
2020-01-16,18,4,1,6465.174999999999,12
2020-01-16,19,4,1,6306.191666666667,12
2020-01-16,20,4,1,6134.350000000001,12
2020-01-16,21,4,1,5922.583333333333,12
2020-01-16,22,4,1,5628.599999999999,12
2020-01-16,23,4,1,5284.124999999999,12
2020-01-17,0,5,1,4986.633333333332,12
2020-01-17,1,5,1,4794.758333333333,12
2020-01-17,2,5,1,4700.325000000001,12
2020-01-17,3,5,1,4673.908333333334,12
2020-01-17,4,5,1,4719.308333333333,12
2020-01-17,5,5,1,4978.225,12
2020-01-17,6,5,1,5503.425,12
2020-01-17,7,5,1,6073.816666666667,12
2020-01-17,8,5,1,6421.991666666666,12
2020-01-17,9,5,1,6608.216666666668,12
2020-01-17,10,5,1,6657.299999999999,12
2020-01-17,11,5,1,6685.983333333333,12
2020-01-17,12,5,1,6678.266666666666,12
2020-01-17,13,5,1,6637.025000000001,12
2020-01-17,14,5,1,6602.974999999999,12
2020-01-17,15,5,1,6619.616666666666,12
2020-01-17,16,5,1,6709.716666666667,12
2020-01-17,17,5,1,6851.708333333333,12
2020-01-17,18,5,1,6788.916666666667,12
2020-01-17,19,5,1,6637.175,12
2020-01-17,20,5,1,6441.758333333334,12
2020-01-17,21,5,1,6256.808333333334,12
2020-01-17,22,5,1,5989.308333333333,12
2020-01-17,23,5,1,5671.741666666666,12
2020-01-18,0,6,1,5369.125,12
2020-01-18,1,6,1,5161.091666666666,12
2020-01-18,2,6,1,5020.291666666667,12
2020-01-18,3,6,1,4933.474999999999,12
2020-01-18,4,6,1,4904.166666666667,12
2020-01-18,5,6,1,4965.599999999999,12
2020-01-18,6,6,1,5128.95,12
2020-01-18,7,6,1,5379.666666666667,12
2020-01-18,8,6,1,5634.308333333333,12
2020-01-18,9,6,1,5857.516666666666,12
2020-01-18,10,6,1,6039.666666666667,12
2020-01-18,11,6,1,6100.891666666667,12
2020-01-18,12,6,1,6187.2375,12
2020-01-18,13,6,1,6257.725000000001,12
2020-01-18,14,6,1,6237.441666666666,12
2020-01-18,15,6,1,6222.775000000001,12
2020-01-18,16,6,1,6263.95,12
2020-01-18,17,6,1,6349.0,12
2020-01-18,18,6,1,6313.683333333334,12
2020-01-18,19,6,1,6199.177777777778,12
2020-01-18,20,6,1,6042.058333333333,12
2020-01-18,21,6,1,5862.200000000001,12
2020-01-18,22,6,1,5633.900000000001,12
2020-01-18,23,6,1,5354.319444444444,12
2020-01-19,0,0,1,5085.899999999999,12
2020-01-19,1,0,1,4865.733333333334,12
2020-01-19,2,0,1,4712.608333333333,12
2020-01-19,3,0,1,4619.391666666666,12
2020-01-19,4,0,1,4573.2,12
2020-01-19,5,0,1,4598.966666666666,12
2020-01-19,6,0,1,4710.65,12
2020-01-19,7,0,1,4846.883333333333,12
2020-01-19,8,0,1,5026.8166666666675,12
2020-01-19,9,0,1,5164.799999999999,12
2020-01-19,10,0,1,5299.158333333332,12
2020-01-19,11,0,1,5424.400000000001,12
2020-01-19,12,0,1,5475.824999999998,12
2020-01-19,13,0,1,5444.941666666667,12
2020-01-19,14,0,1,5466.533333333333,12
