timestamp,generation_mw,hour,minute,day
2024-12-02 15:30:00,1268.049925,15,30,2
2024-12-02 15:45:00,1267.794194,15,45,2
2024-12-02 16:00:00,1268.365541,16,0,2
2024-12-02 16:15:00,1268.281194,16,15,2
2024-12-02 16:30:00,1268.156485,16,30,2
2024-12-02 16:45:00,1268.105487,16,45,2
2024-12-02 17:00:00,1268.227501,17,0,2
2024-12-02 17:15:00,1268.062771,17,15,2
2024-12-02 17:30:00,1268.256147,17,30,2
2024-12-02 17:45:00,1268.439902,17,45,2
2024-12-02 18:00:00,1268.328938,18,0,2
2024-12-02 18:15:00,1268.119617,18,15,2
2024-12-02 18:30:00,1268.298971,18,30,2
2024-12-02 18:45:00,1268.548827,18,45,2
2024-12-02 19:00:00,1268.348054,19,0,2
2024-12-02 19:15:00,1268.112254,19,15,2
2024-12-02 19:30:00,1268.027566,19,30,2
2024-12-02 19:45:00,1268.289729,19,45,2
2024-12-02 20:00:00,1268.178331,20,0,2
2024-12-02 20:15:00,1268.161351,20,15,2
2024-12-02 20:30:00,1268.071702,20,30,2
2024-12-02 20:45:00,1268.565599,20,45,2
2024-12-02 21:00:00,1268.225412,21,0,2
2024-12-02 21:15:00,1267.819968,21,15,2
2024-12-02 21:30:00,1267.844091,21,30,2
2024-12-02 21:45:00,1268.093833,21,45,2
2024-12-02 22:00:00,1268.497466,22,0,2
2024-12-02 22:15:00,1268.471019,22,15,2
2024-12-02 22:30:00,1268.562988,22,30,2
2024-12-02 22:45:00,1268.746609,22,45,2
2024-12-02 23:00:00,1268.646091,23,0,2
2024-12-02 23:15:00,1268.693451,23,15,2
2024-12-02 23:30:00,1268.665272,23,30,2
2024-12-02 23:45:00,1268.609797,23,45,2
2024-12-03 00:00:00,1268.506353,0,0,3
2024-12-03 00:15:00,1268.941782,0,15,3
2024-12-03 00:30:00,1269.312243,0,30,3
2024-12-03 00:45:00,1269.019641,0,45,3
2024-12-03 01:00:00,1269.078437,1,0,3
2024-12-03 01:15:00,1269.221541,1,15,3
2024-12-03 01:30:00,1269.087567,1,30,3
2024-12-03 01:45:00,1269.20828,1,45,3
2024-12-03 02:00:00,1269.287207,2,0,3
2024-12-03 02:15:00,1269.336664,2,15,3
2024-12-03 02:30:00,1269.401284,2,30,3
2024-12-03 02:45:00,1269.470408,2,45,3
2024-12-03 03:00:00,1269.392946,3,0,3
2024-12-03 03:15:00,1269.15951,3,15,3
2024-12-03 03:30:00,1269.245149,3,30,3
2024-12-03 03:45:00,1269.37002,3,45,3
2024-12-03 04:00:00,1269.424231,4,0,3
2024-12-03 04:15:00,1269.594211,4,15,3
2024-12-03 04:30:00,1269.421002,4,30,3
2024-12-03 04:45:00,1269.452177,4,45,3
2024-12-03 05:00:00,1269.391518,5,0,3
2024-12-03 05:15:00,1269.3552,5,15,3
2024-12-03 05:30:00,1269.473804,5,30,3
2024-12-03 05:45:00,1269.816143,5,45,3
2024-12-03 06:00:00,1269.388941,6,0,3
2024-12-03 06:15:00,1269.796178,6,15,3
2024-12-03 06:30:00,1269.445126,6,30,3
2024-12-03 06:45:00,1269.512954,6,45,3
2024-12-03 07:00:00,1269.531346,7,0,3
2024-12-03 07:15:00,1269.679483,7,15,3
2024-12-03 07:30:00,1269.746858,7,30,3
2024-12-03 07:45:00,1269.521375,7,45,3
2024-12-03 08:00:00,1269.18843,8,0,3
2024-12-03 08:15:00,1269.47609,8,15,3
2024-12-03 08:30:00,1269.409412,8,30,3
2024-12-03 08:45:00,1269.607412,8,45,3
2024-12-03 09:00:00,1269.751418,9,0,3
2024-12-03 09:15:00,1269.583147,9,15,3
2024-12-03 09:30:00,1269.82565,9,30,3
2024-12-03 09:45:00,1269.404747,9,45,3
2024-12-03 10:00:00,1269.897792,10,0,3
2024-12-03 10:15:00,1269.661817,10,15,3
2024-12-03 10:30:00,1269.3315,10,30,3
2024-12-03 10:45:00,1269.620699,10,45,3
2024-12-03 11:00:00,1269.578551,11,0,3
2024-12-03 11:15:00,1270.221527,11,15,3
2024-12-03 11:30:00,1270.597426,11,30,3
2024-12-03 11:45:00,1270.867958,11,45,3
2024-12-03 12:00:00,1271.119303,12,0,3
2024-12-03 12:15:00,1271.625219,12,15,3
2024-12-03 12:30:00,1271.855042,12,30,3
2024-12-03 12:45:00,1272.35249,12,45,3
2024-12-03 13:00:00,1272.25101,13,0,3
2024-12-03 13:15:00,1272.132195,13,15,3
2024-12-03 13:30:00,1272.176425,13,30,3
